"","MIR340","MIR34","MIR200","MIR190","MIR1199","GRHL2","ESRP1","CD24","TGFB","HA","CD44s","ZEB1","SNAIL1","HAS2"
"GRHL2",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,-0.8,-0.8,-0.8,-1,-0.8,-0.9
"MIR340",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8
"MIR34",0.8,0.9,0.9,0.8,0.8,0.8,0.8,0.7,-0.8,-0.7,-0.7,-0.9,-1,-0.8
"MIR200",0.8,0.9,0.9,0.8,0.8,0.8,0.8,0.7,-0.9,-0.7,-0.7,-0.9,-0.9,-0.8
"MIR1199",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8
"CD24",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,-0.7,-0.7,-0.7,-0.9,-0.8,-0.8
"MIR190",0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.6,-0.8,-0.6,-0.6,-0.8,-0.9,-0.7
"ESRP1",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,-0.6,-0.6,-0.7,-0.8,-0.7,-0.7
"HAS2",-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,0.6,0.7,0.6,0.8,0.7,0.7
"ZEB1",-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.8,0.8,0.8,0.8,0.9,0.9,0.9
"TGFB",-0.8,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.7,0.8,0.7,0.7,0.9,1,0.8
"HA",-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,0.7,0.7,0.7,0.9,0.8,0.8
"CD44s",-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,0.7,0.7,0.7,0.9,0.8,0.8
"SNAIL1",-0.9,-1,-1,-0.9,-0.9,-0.9,-0.9,-0.8,0.9,0.8,0.8,1,1,0.9
