"","MIR340","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","TGFB","SNAIL1","ZEB1","HA","CD44s","MIR190","HAS2"
"GRHL2",0.758499083338006,0.758499083338006,0.758499083338006,0.758499083338006,0.801517296694467,0.64017493131714,0.64017493131714,-0.0307284838630051,-0.227445511441385,-0.81063193908532,-0.701517296694467,-0.701517296694467,-0.758499083338006,-0.758499083338006
"MIR340",0.649115206134538,0.649115206134538,0.649115206134538,0.649115206134538,0.595468147311009,0.51214418382966,0.51214418382966,-0.0217497878936313,-0.208748087338043,-0.700668560479428,-0.595468147311009,-0.595468147311009,-0.649115206134538,-0.649115206134538
"MIR1199",0.649115206134538,0.649115206134538,0.649115206134538,0.649115206134538,0.595468147311009,0.51214418382966,0.51214418382966,-0.0217497878936313,-0.208748087338043,-0.700668560479428,-0.595468147311009,-0.595468147311009,-0.649115206134538,-0.649115206134538
"CD24",0.649115206134538,0.649115206134538,0.649115206134538,0.649115206134538,0.595468147311009,0.51214418382966,0.51214418382966,-0.0217497878936313,-0.208748087338043,-0.700668560479428,-0.595468147311009,-0.595468147311009,-0.649115206134538,-0.649115206134538
"ESRP1",0.595468147311009,0.595468147311009,0.595468147311009,0.595468147311009,0.529131513647643,0.470788509800718,0.470788509800718,-0.0199549160987595,-0.196677743613023,-0.649115206134538,-0.529131513647643,-0.629131513647643,-0.595468147311009,-0.595468147311009
"MIR200",0.567177193066148,0.567177193066148,0.567177193066148,0.567177193066148,0.521408910403864,0.541530148758347,0.541530148758347,-0.220768457023591,-0.21951526435599,-0.610382441426035,-0.521408910403864,-0.521408910403864,-0.567177193066148,-0.567177193066148
"MIR34",0.314040821899453,0.314040821899453,0.314040821899453,0.314040821899453,0.289755107613739,0.290599514984665,0.290599514984665,-0.104980429679212,-0.134231717275853,-0.335179341823552,-0.289755107613739,-0.289755107613739,-0.314040821899453,-0.314040821899453
"MIR190",0.289755107613739,0.289755107613739,0.289755107613739,0.289755107613739,0.262234671646436,0.274041496731731,0.274041496731731,-0.202220344753522,-0.126653909427409,-0.314040821899453,-0.262234671646436,-0.262234671646436,-0.289755107613739,-0.289755107613739
"TGFB",-0.314040821899453,-0.314040821899453,-0.314040821899453,-0.314040821899453,-0.289755107613739,-0.290599514984665,-0.290599514984665,0.104980429679212,0.134231717275853,0.335179341823552,0.289755107613739,0.289755107613739,0.314040821899453,0.314040821899453
"SNAIL1",-0.335179341823552,-0.335179341823552,-0.335179341823552,-0.335179341823552,-0.314040821899453,-0.306865014619967,-0.306865014619967,0.105616865637844,0.0384805791878411,0.354788018982208,0.314040821899453,0.314040821899453,0.335179341823552,0.335179341823552
"ZEB1",-0.700668560479428,-0.700668560479428,-0.700668560479428,-0.700668560479428,-0.649115206134538,-0.549471372769752,-0.549471372769752,0.0257719792944635,0.220889235663402,0.644915613443067,0.649115206134538,0.649115206134538,0.700668560479428,0.700668560479428
"HAS2",-0.595468147311009,-0.595468147311009,-0.595468147311009,-0.595468147311009,-0.529131513647643,-0.470788509800718,-0.470788509800718,0.0199549160987595,0.196677743613023,0.649115206134538,0.629131513647643,0.529131513647643,0.595468147311009,0.595468147311009
"HA",-0.649115206134538,-0.649115206134538,-0.649115206134538,-0.649115206134538,-0.595468147311009,-0.51214418382966,-0.51214418382966,0.0217497878936313,0.208748087338043,0.700668560479428,0.595468147311009,0.595468147311009,0.649115206134538,0.649115206134538
"CD44s",-0.649115206134538,-0.649115206134538,-0.649115206134538,-0.649115206134538,-0.595468147311009,-0.51214418382966,-0.51214418382966,0.0217497878936313,0.208748087338043,0.700668560479428,0.595468147311009,0.595468147311009,0.649115206134538,0.649115206134538
