"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","SNAIL1","TGFB","CD44s","ZEB1"
"GRHL2",0.789691487389697,0.789691487389697,0.789691487389697,0.789691487389697,0.789691487389697,0.824326122024332,0.69759029914575,0.69759029914575,-0.361817138810449,-0.676330765347846,-0.724326122024332,-0.848285237389697
"MIR340",0.680118175522575,0.680118175522575,0.680118175522575,0.680118175522575,0.680118175522575,0.615224558501299,0.575818699099364,0.575818699099364,-0.343551924461335,-0.557766944176044,-0.615224558501299,-0.736091626850009
"MIR1199",0.680118175522575,0.680118175522575,0.680118175522575,0.680118175522575,0.680118175522575,0.615224558501299,0.575818699099364,0.575818699099364,-0.343551924461335,-0.557766944176044,-0.615224558501299,-0.736091626850009
"CD24",0.680118175522575,0.680118175522575,0.680118175522575,0.680118175522575,0.680118175522575,0.615224558501299,0.575818699099364,0.575818699099364,-0.343551924461335,-0.557766944176044,-0.615224558501299,-0.736091626850009
"ESRP1",0.615224558501299,0.615224558501299,0.615224558501299,0.615224558501299,0.615224558501299,0.5484229390681,0.524458154881676,0.524458154881676,-0.316488925348646,-0.499230358810191,-0.6484229390681,-0.680118175522575
"MIR200",0.579444138454182,0.579444138454182,0.579444138454182,0.579444138454182,0.579444138454182,0.524214780656017,0.58470820577207,0.58470820577207,-0.317377758224302,-0.67461330280394,-0.524214780656017,-0.624356549933869
"MIR34",0.314380004431626,0.314380004431626,0.314380004431626,0.314380004431626,0.314380004431626,0.292322861574483,0.303470657020557,0.303470657020557,-0.170953422243582,-0.323074255843312,-0.292322861574483,-0.340150552376831
"MIR190",0.292322861574483,0.292322861574483,0.292322861574483,0.292322861574483,0.292322861574483,0.258595050923595,0.284862702475103,0.284862702475103,-0.161239136529296,-0.394746610792118,-0.258595050923595,-0.314380004431626
"TGFB",-0.314380004431626,-0.314380004431626,-0.314380004431626,-0.314380004431626,-0.314380004431626,-0.292322861574483,-0.303470657020557,-0.303470657020557,0.170953422243582,0.323074255843312,0.292322861574483,0.340150552376831
"SNAIL1",-0.340150552376831,-0.340150552376831,-0.340150552376831,-0.340150552376831,-0.340150552376831,-0.314380004431626,-0.323224404343898,-0.323224404343898,0.0811242928701077,0.343004172619484,0.314380004431626,0.359875548284508
"ZEB1",-0.736091626850009,-0.736091626850009,-0.736091626850009,-0.736091626850009,-0.736091626850009,-0.680118175522575,-0.620690930785905,-0.620690930785905,0.366634046799963,0.614405948325422,0.680118175522575,0.68958460132062
"CD44s",-0.680118175522575,-0.680118175522575,-0.680118175522575,-0.680118175522575,-0.680118175522575,-0.615224558501299,-0.575818699099364,-0.575818699099364,0.343551924461335,0.557766944176044,0.615224558501299,0.736091626850009
