"","MIR340","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","SNAIL1","TGFB","HA","CD44s","ZEB1","HAS2"
"GRHL2",0.810216913411723,0.810216913411723,0.810216913411723,0.810216913411723,0.839125467983995,0.724943591942996,0.724943591942996,-0.35477554529626,-0.666760559210865,-0.739125467983995,-0.739125467983995,-0.876695256161253,-0.810216913411723
"MIR340",0.703066733408771,0.703066733408771,0.703066733408771,0.703066733408771,0.633980711903395,0.60472609487646,0.60472609487646,-0.324556121249584,-0.547544027172892,-0.633980711903395,-0.633980711903395,-0.768529841729022,-0.703066733408771
"MIR1199",0.703066733408771,0.703066733408771,0.703066733408771,0.703066733408771,0.633980711903395,0.60472609487646,0.60472609487646,-0.324556121249584,-0.547544027172892,-0.633980711903395,-0.633980711903395,-0.768529841729022,-0.703066733408771
"CD24",0.703066733408771,0.703066733408771,0.703066733408771,0.703066733408771,0.633980711903395,0.60472609487646,0.60472609487646,-0.324556121249584,-0.547544027172892,-0.633980711903395,-0.633980711903395,-0.768529841729022,-0.703066733408771
"ESRP1",0.633980711903395,0.633980711903395,0.633980711903395,0.633980711903395,0.557423935346618,0.547544027172892,0.547544027172892,-0.297700226053077,-0.486652938063981,-0.557423935346618,-0.657423935346618,-0.703066733408771,-0.633980711903395
"MIR200",0.60472609487646,0.60472609487646,0.60472609487646,0.60472609487646,0.547544027172892,0.604185652545728,0.604185652545728,-0.309740762777588,-0.657155949575431,-0.547544027172892,-0.547544027172892,-0.657679756001327,-0.60472609487646
"MIR34",0.324556121249584,0.324556121249584,0.324556121249584,0.324556121249584,0.297700226053077,0.309740762777588,0.309740762777588,-0.165597317035666,-0.28836448166485,-0.297700226053077,-0.297700226053077,-0.350457488841793,-0.324556121249584
"TGFB",-0.324556121249584,-0.324556121249584,-0.324556121249584,-0.324556121249584,-0.297700226053077,-0.309740762777588,-0.309740762777588,0.165597317035666,0.28836448166485,0.297700226053077,0.297700226053077,0.350457488841793,0.324556121249584
"SNAIL1",-0.350457488841793,-0.350457488841793,-0.350457488841793,-0.350457488841793,-0.324556121249584,-0.330912310894742,-0.330912310894742,0.0751693523182529,0.309740762777588,0.324556121249584,0.324556121249584,0.374095575056857,0.350457488841793
"HAS2",-0.633980711903395,-0.633980711903395,-0.633980711903395,-0.633980711903395,-0.557423935346618,-0.547544027172892,-0.547544027172892,0.297700226053077,0.486652938063981,0.657423935346618,0.557423935346618,0.703066733408771,0.633980711903395
"ZEB1",-0.768529841729022,-0.768529841729022,-0.768529841729022,-0.768529841729022,-0.703066733408771,-0.657679756001327,-0.657679756001327,0.350457488841793,0.60472609487646,0.703066733408771,0.703066733408771,0.728608893112421,0.768529841729022
"HA",-0.703066733408771,-0.703066733408771,-0.703066733408771,-0.703066733408771,-0.633980711903395,-0.60472609487646,-0.60472609487646,0.324556121249584,0.547544027172892,0.633980711903395,0.633980711903395,0.768529841729022,0.703066733408771
"CD44s",-0.703066733408771,-0.703066733408771,-0.703066733408771,-0.703066733408771,-0.633980711903395,-0.60472609487646,-0.60472609487646,0.324556121249584,0.547544027172892,0.633980711903395,0.633980711903395,0.768529841729022,0.703066733408771
