"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","MIR34","MIR200","SNAIL1","TGFB","ZEB1","HA","CD44s","HAS2"
"GRHL2",0.746891433686385,0.746891433686385,0.746891433686385,0.746891433686385,0.746891433686385,0.792685015646489,0.667959551928631,0.480805468691637,-0.337981525981356,-0.551053468752951,-0.794791140622237,-0.692685015646489,-0.692685015646489,-0.746891433686385
"MIR340",0.636399348123398,0.636399348123398,0.636399348123398,0.636399348123398,0.636399348123398,0.584399348123398,0.547791074066609,0.368810842665416,-0.318432715126561,-0.438795502566072,-0.682729829888369,-0.584399348123398,-0.584399348123398,-0.636399348123398
"MIR1199",0.636399348123398,0.636399348123398,0.636399348123398,0.636399348123398,0.636399348123398,0.584399348123398,0.547791074066609,0.368810842665416,-0.318432715126561,-0.438795502566072,-0.682729829888369,-0.584399348123398,-0.584399348123398,-0.636399348123398
"CD24",0.636399348123398,0.636399348123398,0.636399348123398,0.636399348123398,0.636399348123398,0.584399348123398,0.547791074066609,0.368810842665416,-0.318432715126561,-0.438795502566072,-0.682729829888369,-0.584399348123398,-0.584399348123398,-0.636399348123398
"ESRP1",0.584399348123398,0.584399348123398,0.584399348123398,0.584399348123398,0.584399348123398,0.524003308519438,0.506130754188468,0.34314442987029,-0.297089789467089,-0.398026271796841,-0.636399348123398,-0.524003308519438,-0.624003308519438,-0.584399348123398
"MIR200",0.499461407364546,0.499461407364546,0.499461407364546,0.499461407364546,0.499461407364546,0.453035770552714,0.525949213503271,0.199535711937697,-0.277088595920928,-0.343136913473514,-0.528983431731931,-0.453035770552714,-0.453035770552714,-0.499461407364546
"MIR34",0.105727871530083,0.105727871530083,0.105727871530083,0.105727871530083,0.105727871530083,0.114299300101512,0.159874598300749,-0.0323416613281833,-0.0884424644139283,0.00792862580584936,-0.124665252934258,-0.114299300101512,-0.114299300101512,-0.105727871530083
"MIR190",0.114299300101512,0.114299300101512,0.114299300101512,0.114299300101512,0.114299300101512,0.0807843137254902,0.160004976397229,-0.0215202793203606,-0.0931785943192057,-0.063408953811985,-0.105727871530083,-0.0807843137254902,-0.0807843137254902,-0.114299300101512
"SNAIL1",-0.124665252934258,-0.124665252934258,-0.124665252934258,-0.124665252934258,-0.124665252934258,-0.105727871530083,-0.170304941116212,0.0185074770344804,-0.0030092300726675,-0.0178729376594691,0.122978027640057,0.105727871530083,0.105727871530083,0.124665252934258
"TGFB",-0.105727871530083,-0.105727871530083,-0.105727871530083,-0.105727871530083,-0.105727871530083,-0.114299300101512,-0.159874598300749,0.0323416613281833,0.0884424644139283,-0.00792862580584936,0.124665252934258,0.114299300101512,0.114299300101512,0.105727871530083
"ZEB1",-0.682729829888369,-0.682729829888369,-0.682729829888369,-0.682729829888369,-0.682729829888369,-0.636399348123398,-0.585118263006702,-0.390757847273711,0.336315490246179,0.474810296833293,0.623888720806516,0.636399348123398,0.636399348123398,0.682729829888369
"HAS2",-0.584399348123398,-0.584399348123398,-0.584399348123398,-0.584399348123398,-0.584399348123398,-0.524003308519438,-0.506130754188468,-0.34314442987029,0.297089789467089,0.398026271796841,0.636399348123398,0.624003308519438,0.524003308519438,0.584399348123398
"HA",-0.636399348123398,-0.636399348123398,-0.636399348123398,-0.636399348123398,-0.636399348123398,-0.584399348123398,-0.547791074066609,-0.368810842665416,0.318432715126561,0.438795502566072,0.682729829888369,0.584399348123398,0.584399348123398,0.636399348123398
"CD44s",-0.636399348123398,-0.636399348123398,-0.636399348123398,-0.636399348123398,-0.636399348123398,-0.584399348123398,-0.547791074066609,-0.368810842665416,0.318432715126561,0.438795502566072,0.682729829888369,0.584399348123398,0.584399348123398,0.636399348123398
