"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,-0.0057877184604863,0.108891971574318,-1,0.365425299519914
"SNAIL",-0.0057877184604863,1,0.166027807470203,0.0057877184604863,-0.64033725615643
"ZEB",0.108891971574318,0.166027807470203,1,-0.108891971574318,-0.525681968998524
"miR145",-1,0.0057877184604863,-0.108891971574318,1,-0.365425299519914
"miR200",0.365425299519914,-0.64033725615643,-0.525681968998524,-0.365425299519914,1
