"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.246114035762975,1,-1,-0.246114035762975
"SNAIL",0.246114035762975,1,0.246114035762975,-0.246114035762975,-1
"ZEB",1,0.246114035762975,1,-1,-0.246114035762975
"miR145",-1,-0.246114035762975,-1,1,0.246114035762975
"miR200",-0.246114035762975,-1,-0.246114035762975,0.246114035762975,1
