"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,1,1,-1,-0.704937389290786
"SNAIL",1,1,1,-1,-0.704937389290786
"ZEB",1,1,1,-1,-0.704937389290786
"miR145",-1,-1,-1,1,0.704937389290786
"miR200",-0.704937389290786,-0.704937389290786,-0.704937389290786,0.704937389290786,1
