"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.249261186577715,1,-1,-0.249261186577715
"SNAIL",0.249261186577715,1,0.249261186577715,-0.249261186577715,-1
"ZEB",1,0.249261186577715,1,-1,-0.249261186577715
"miR145",-1,-0.249261186577715,-1,1,0.249261186577715
"miR200",-0.249261186577715,-1,-0.249261186577715,0.249261186577715,1
