"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.00547402413355891,0.583352494450749,-1,-0.00547402413355892
"SNAIL",0.00547402413355891,1,0.422111259700584,-0.00547402413355892,-1
"ZEB",0.583352494450749,0.422111259700584,1,-0.583352494450749,-0.422111259700584
"miR145",-1,-0.00547402413355892,-0.583352494450749,1,0.00547402413355891
"miR200",-0.00547402413355892,-1,-0.422111259700584,0.00547402413355891,1
