"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,1,1,-1,-1
"SNAIL",1,1,1,-1,-1
"ZEB",1,1,1,-1,-1
"miR145",-1,-1,-1,1,1
"miR200",-1,-1,-1,1,1
