"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.00820132348186941,0.00820132348186941,-1,-0.00820132348186944
"SNAIL",0.00820132348186941,1,1,-0.00820132348186942,-1
"ZEB",0.00820132348186941,1,1,-0.00820132348186942,-1
"miR145",-1,-0.00820132348186942,-0.00820132348186942,1,0.00820132348186939
"miR200",-0.00820132348186944,-1,-1,0.00820132348186939,1
