"","OCT4","SNAIL","ZEB","miR145","miR200"
"OCT4",1,0.0581042560817578,0.0581042560817578,-1,-0.0581042560817578
"SNAIL",0.0581042560817578,1,1,-0.0581042560817578,-1
"ZEB",0.0581042560817578,1,1,-0.0581042560817578,-1
"miR145",-1,-0.0581042560817578,-0.0581042560817578,1,0.0581042560817578
"miR200",-0.0581042560817578,-1,-1,0.0581042560817578,1
