,Network,PFL,Type1,Type2,MISA,MISSA,uMISSA
0,EMT_RACIPE_1,65,12018,8101,3207,334,64
1,EMT_RACIPE_10,80,18425,14325,5151,340,25
2,EMT_RACIPE_100,84,23059,14646,5213,373,41
3,EMT_RACIPE_101,75,20614,10092,2447,603,37
4,EMT_RACIPE_102,71,14541,10005,3864,327,71
5,EMT_RACIPE_103,68,13070,8022,3438,206,31
6,EMT_RACIPE_104,72,16069,9700,2475,81,45
7,EMT_RACIPE_105,72,16609,8592,2996,178,64
8,EMT_RACIPE_106,76,17822,12791,5938,115,45
9,EMT_RACIPE_107,72,13459,9295,4043,131,107
10,EMT_RACIPE_108,68,16113,7384,2649,168,24
11,EMT_RACIPE_109,78,18938,12662,5725,172,20
12,EMT_RACIPE_11,80,20149,13356,4314,374,82
13,EMT_RACIPE_110,60,10179,6258,2155,168,61
14,EMT_RACIPE_111,87,19039,14566,2061,694,59
15,EMT_RACIPE_112,72,16777,8879,3027,274,19
16,EMT_RACIPE_113,78,18718,11786,3689,150,49
17,EMT_RACIPE_114,73,17315,8373,2535,363,0
18,EMT_RACIPE_115,79,20076,13216,4023,216,74
19,EMT_RACIPE_116,60,8169,6292,2898,174,97
20,EMT_RACIPE_117,75,17509,12723,4977,275,47
21,EMT_RACIPE_118,62,12539,4821,1735,153,0
22,EMT_RACIPE_119,71,17904,8590,3356,71,71
23,EMT_RACIPE_12,70,15110,9171,3623,266,43
24,EMT_RACIPE_120,74,16762,12220,6118,204,123
25,EMT_RACIPE_121,84,19825,15891,7578,507,85
26,EMT_RACIPE_122,75,14627,11635,5245,177,56
27,EMT_RACIPE_123,67,12695,8852,3948,181,91
28,EMT_RACIPE_124,75,16999,12859,5235,376,82
29,EMT_RACIPE_125,72,13534,8907,3854,242,35
30,EMT_RACIPE_126,71,14945,8489,2832,54,0
31,EMT_RACIPE_127,75,16033,11974,4920,215,129
32,EMT_RACIPE_128,75,12998,9795,3880,88,41
33,EMT_RACIPE_129,69,14305,7961,2816,161,32
34,EMT_RACIPE_13,66,11539,7594,2179,342,34
35,EMT_RACIPE_130,73,15979,10187,2939,421,81
36,EMT_RACIPE_131,59,10393,5612,1611,216,0
37,EMT_RACIPE_132,78,18224,13162,5788,318,47
38,EMT_RACIPE_133,74,17454,10505,3207,181,82
39,EMT_RACIPE_134,67,13264,7255,2637,99,28
40,EMT_RACIPE_135,63,10107,7189,3198,185,13
41,EMT_RACIPE_136,67,11419,7981,3545,277,60
