"EdgeList","Nature","Cycles","Edge_count"
"SUFU,GLI;SUFU,cateninnuc;cateninnuc,TCFLEF;TCFLEF,GLI","P","GLI,SUFU,cateninnuc,TCFLEF",4
"GLI,SHH;SHH,Patched;Patched,SMO;SMO,FUS;FUS,SUFU;SUFU,GLI","P","GLI,SHH,Patched,SMO,FUS,SUFU",6
"SMAD,Jagged;SMAD,SHH;SHH,Patched;Patched,SMO;SMO,FUS;FUS,SUFU;SUFU,cateninnuc;cateninnuc,TCFLEF;TCFLEF,Jagged","N","Jagged,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",9
"SNAI1,ZEB2;ZEB2,SMAD;SMAD,SNAI1","P","SNAI1,ZEB2,SMAD",3
"SNAI1,miR200;miR200,ZEB2;SNAI1,ZEB2","P","SNAI1,miR200,ZEB2",3
"SNAI1,miR200;ZEB2,miR200;SNAI1,ZEB2","P","SNAI1,miR200,ZEB2",3
"ZEB1,miR200;miR200,ZEB2;ZEB2,SMAD;ZEB1,SMAD","N","ZEB1,miR200,ZEB2,SMAD",4
"miR200,ZEB1;miR200,ZEB2;ZEB2,SMAD;ZEB1,SMAD","N","ZEB1,miR200,ZEB2,SMAD",4
"ZEB1,miR200;ZEB2,miR200;ZEB2,SMAD;ZEB1,SMAD","N","ZEB1,miR200,ZEB2,SMAD",4
"miR200,ZEB1;ZEB2,miR200;ZEB2,SMAD;ZEB1,SMAD","N","ZEB1,miR200,ZEB2,SMAD",4
"KLF4,Ecadherin;ZEB2,KLF4;ZEB2,SMAD;SMAD,SHH;SHH,Patched;Patched,SMO;SMO,FUS;FUS,SUFU;SUFU,cateninnuc;Ecadherin,cateninnuc","N","Ecadherin,KLF4,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",10
"SRC,RAS;SRC,STAT;STAT,KLF4;ZEB2,KLF4;ZEB2,SMAD;SMAD,SHH;SHH,Patched;Patched,SMO;SMO,FUS;FUS,SUFU;SUFU,cateninnuc;cateninnuc,TCFLEF;TCFLEF,RAS","P","RAS,SRC,STAT,KLF4,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",13
"CD44,cMet;cMet,SRC;SRC,STAT;STAT,KLF4;ZEB2,KLF4;ZEB2,SMAD;SMAD,SHH;SHH,Patched;Patched,SMO;SMO,FUS;FUS,SUFU;SUFU,cateninnuc;cateninnuc,TCFLEF;TCFLEF,CD44","N","CD44,cMet,SRC,STAT,KLF4,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",14
"TGFR,SOSGRB2;cMet,SOSGRB2;cMet,SRC;SRC,STAT;STAT,KLF4;ZEB2,KLF4;ZEB2,SMAD;TGFR,SMAD","N","TGFR,SOSGRB2,cMet,SRC,STAT,KLF4,ZEB2,SMAD",8
"ERK,SOSGRB2;cMet,SOSGRB2;cMet,SRC;SRC,STAT;STAT,KLF4;ZEB2,KLF4;ZEB2,SMAD;ERK,SMAD","P","ERK,SOSGRB2,cMet,SRC,STAT,KLF4,ZEB2,SMAD",8
"SOSGRB2,RAS;cMet,SOSGRB2;cMet,SRC;SRC,RAS","P","RAS,SOSGRB2,cMet,SRC",4
"MEK,ERK;SOSGRB2,MEK;ERK,SOSGRB2","N","ERK,MEK,SOSGRB2",3
"SNAI1,RKIP;RKIP,MEK;SOSGRB2,MEK;cMet,SOSGRB2;cMet,SRC;SRC,STAT;STAT,KLF4;ZEB2,KLF4;SNAI1,ZEB2","N","SNAI1,RKIP,MEK,SOSGRB2,cMet,SRC,STAT,KLF4,ZEB2",9
"ERK,RKIP;RKIP,MEK;MEK,ERK","P","ERK,RKIP,MEK",3
"RAS,RAF;RAF,MEK;SOSGRB2,MEK;SOSGRB2,RAS","P","RAS,RAF,MEK,SOSGRB2",4
"LIV1,SNAI1;STAT,LIV1;STAT,KLF4;ZEB2,KLF4;SNAI1,ZEB2","N","SNAI1,LIV1,STAT,KLF4,ZEB2",5
"SNAI1,Ecadherin;SMAD,SNAI1;SMAD,SHH;SHH,Patched;Patched,SMO;SMO,FUS;FUS,SUFU;SUFU,cateninnuc;Ecadherin,cateninnuc","N","Ecadherin,SNAI1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc",9
"SNAI1,TWIST1;SMAD,SNAI1;SMAD,SHH;SHH,Patched;Patched,SMO;SMO,FUS;FUS,SUFU;SUFU,cateninnuc;cateninnuc,TCFLEF;TCFLEF,TWIST1","N","TWIST1,SNAI1,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF",10
"SNAI1,ZEB1;SMAD,SNAI1;ZEB1,SMAD","N","ZEB1,SNAI1,SMAD",3
"GLI,SNAI1;SMAD,SNAI1;SMAD,SHH;GLI,SHH","N","GLI,SNAI1,SMAD,SHH",4
"Csn,GSK3;Csn,TrCP;TrCP,SNAI1;GSK3,SNAI1","N","GSK3,Csn,TrCP,SNAI1",4
"NFB,TWIST1;NFB,Csn;Csn,TrCP;TrCP,SNAI1;SNAI1,TWIST1","P","TWIST1,NFB,Csn,TrCP,SNAI1",5
"ILK,AKT;AKT,IKK;IKK,NFB;NFB,Csn;Csn,TrCP;TrCP,SNAI1;SMAD,SNAI1;SMAD,ILK","N","ILK,AKT,IKK,NFB,Csn,TrCP,SNAI1,SMAD",8
"AKT,GSK3;AKT,IKK;IKK,NFB;NFB,Csn;Csn,GSK3","N","GSK3,AKT,IKK,NFB,Csn",5
