"","ZEB","GRHL2","miR145","OCT4","miR200","OVOL2"
"ZEB",-0.0766529824991994,-0.0225601828389338,-0.0103843350863223,0.0113883773343338,0.0185966532358911,0.0309199638941887
"OVOL2",-0.0376830198042415,0.0379612136839761,0.0314634594085159,-0.0318041443645855,-0.0688543061951381,-0.0729508287651266
"miR200",-0.0225601828389338,0.0237017691992007,0.0113883773343338,-0.010319449947677,-0.0191096551817606,-0.0314786231120657
"GRHL2",-0.0225601828389338,0.0237017691992007,0.0113883773343338,-0.010319449947677,-0.0191096551817606,-0.0314786231120657
"miR145",-0.0175053915146911,0.0184014697178797,-0.0795376192388149,-0.0196591679097794,0.0784352924523711,-0.0241906682901068
"OCT4",0,0,0.0724726004295126,-0.0724726004295126,-0.0713101302180192,0
