"","GRHL2","miR145","OVOL2","ZEB","miR200","OCT4"
"miR200",0.336810959323084,0.283066404701434,0.167515305206822,-0.338011848870897,-0.281614184124094,-0.280817971232949
"GRHL2",0.336810959323084,0.283066404701434,0.167515305206822,-0.338011848870897,-0.281614184124094,-0.280817971232949
"miR145",0.304133795049825,0.171388051544279,0.152478748460279,-0.305076422770063,-0.171498965377216,-0.26966688114841
"OVOL2",0.100574050311858,0.0879828477117049,-0.0276527000757299,-0.099996263023178,-0.12463364096113,-0.0868890696948499
"OCT4",0,0.0724726004295126,0,0,-0.0713101302180192,-0.0724726004295126
"ZEB",-0.338011848870897,-0.283861814794014,-0.167515305206822,0.239261527451509,0.282870154405361,0.283066404701434
