"","GRHL2","miR200","miR145","OVOL2","OCT4","ZEB"
"miR200",0.692103401805768,0.612245848606735,0.568944760328365,0.344699383562839,-0.531753459185719,-0.735528160886568
"GRHL2",0.692103401805768,0.612245848606735,0.568944760328365,0.344699383562839,-0.531753459185719,-0.735528160886568
"miR145",0.582219717970623,0.513307128323497,0.39401909370021,0.291768893599737,-0.465103431049607,-0.616305601829578
"OVOL2",0.375989318621932,0.356161432922737,0.317107718130997,0.104418505610805,-0.299015553884987,-0.396882392307645
"OCT4",0,-0.0713101302180192,0.0724726004295126,0,-0.0724726004295126,0
"ZEB",-0.735528160886568,-0.649199678431606,-0.602130312551602,-0.364579946074879,0.568944760328365,0.674556188657203
