"","GRHL2","miR145","OCT4","OVOL2","miR200","ZEB"
"GRHL2",0.389132917434834,0.325721344891218,0.320671584478391,0.19269557063056,0.155916617369989,-0.394188514173158
"miR145",0.346305536238618,0.206022848635898,0.302121529071927,0.172660460877097,0.0503993078186643,-0.350273882567024
"OVOL2",0.22756003850103,0.196658136146523,0.19420161830539,0.0305975235402794,0.0131621147755814,-0.229992451654607
"OCT4",0,-0.0724726004295126,-0.0724726004295126,0,-0.0713101302180192,0
"ZEB",-0.394188514173158,-0.329281131043258,-0.325721344891218,-0.194853151058223,-0.157296415707155,0.297700985245413
"miR200",-0.389132917434834,-0.325721344891218,-0.320671584478391,-0.19269557063056,-0.155916617369989,0.394188514173158
