"","OVOL2","miR145","miR200","ZEB","GRHL2","OCT4"
"OVOL2",0.28643130454018,0.136957699589888,-0.136453802556871,-0.103422956753168,-0.128795665220249,-0.10760500100642
"miR145",0.232922168379619,0.103197728742344,0.0568152974931135,-0.0461392465288227,-0.101032764508574,-0.139801285827829
"miR200",0.209531910085176,0.0998284688261625,0.0522656753787884,-0.0452771206096588,-0.0980124801352333,-0.0394893608276369
"ZEB",-0.185451771383577,-0.045884017137546,-0.00632546664006561,-0.00524486447648158,0.0452771206096588,0.0998284688261625
"GRHL2",-0.209531910085176,-0.0998284688261625,-0.0522656753787884,0.0452771206096588,0.0980124801352333,0.0394893608276369
"OCT4",-0.192403801041695,-0.139806176961589,-0.104110138819351,0.0998284688261625,0.0394893608276369,0.203859714246483
