"","ZEB","miR200","miR145","GRHL2","OCT4","OVOL2"
"ZEB",-0.100445635616647,-0.0879859271440964,-0.0112076033912427,0.000317067861440097,0.0111163268232417,0.0190359731636824
"OVOL2",-0.0637349631144817,-0.0227280558102573,0.0708861159889969,0.0636279654684299,-0.0707964620531892,-0.0838608333427222
"OCT4",-0.0111163268232417,-0.0716583856200952,-0.155804358543392,0.010932028997956,0.155230744776662,-0.022005017415567
"miR200",-0.000317067861440097,-0.0878090299213828,-0.0111163268232417,0.000539454814738837,0.010932028997956,0.0190167090527211
"GRHL2",0.000317067861440097,0.0878090299213828,0.0111163268232417,-0.000539454814738837,-0.010932028997956,-0.0190167090527211
"miR145",0.0182046675042924,-7.64457640646605e-05,0.0904567518479895,-0.0182163048835545,-0.190686241234105,0.0244219259084863
