"","GRHL2","miR145","miR200","OVOL2","OCT4","ZEB"
"miR200",0.60321577334141,0.495542312872984,0.319550140708017,0.300879852695073,-0.469408881247477,-0.628315847470395
"GRHL2",0.60321577334141,0.495542312872984,0.319550140708017,0.300879852695073,-0.469408881247477,-0.628315847470395
"miR145",0.511275573598414,0.335152162558107,0.259446906085813,0.256939648758815,-0.41484235188685,-0.530977656689302
"OVOL2",0.169728296760087,0.14359038785079,0.0120984154577826,0.00718642626755583,-0.135611187563898,-0.172032312738402
"OCT4",0,0.0724726004295126,-0.0713101302180192,0,-0.0724726004295126,0
"ZEB",-0.628315847470395,-0.514488720488058,-0.330588527405346,-0.310588964619558,0.495542312872984,0.552656294886183
