"","OVOL2","miR200","miR145","GRHL2","OCT4","ZEB"
"OVOL2",1,1,0.9,0.9,-0.8,-1
"miR200",0.9,0.9,0.9,0.9,-0.8,-1
"miR145",0.9,0.9,0.9,0.9,-0.9,-1
"GRHL2",0.9,0.9,0.9,0.9,-0.8,-1
"OCT4",-0.8,-0.9,-0.9,-0.8,0.8,0.9
"ZEB",-1,-1,-1,-1,0.9,1
