"","GRHL2","miR145","miR200","OVOL2","ZEB","OCT4"
"miR200",0.355329677422491,0.297864343593308,0.193975867193589,0.176828069162174,-0.358013146658963,-0.293846651002081
"GRHL2",0.355329677422491,0.297864343593308,0.193975867193589,0.176828069162174,-0.358013146658963,-0.293846651002081
"OVOL2",0.105429795137213,0.091848624396268,-0.021289102163717,-0.0251453080690604,-0.104880540554147,-0.0901810611902433
"miR145",-0.254253798864909,-0.215586637828272,-0.0469361070867092,-0.127282373459261,0.255522273204487,0.113693350392816
"ZEB",-0.358013146658963,-0.299755072501901,-0.194754214973529,-0.177328936047167,0.260579359052894,0.297864343593308
"OCT4",-0.293846651002081,-0.147435781056047,-0.197727806021618,-0.146518975224888,0.297864343593308,0.144950121400216
