"","miR145","miR200","OVOL2","ZEB","GRHL2","OCT4"
"GRHL2",0.26153671221269,0.137565362548885,0.116356110393362,-0.233345431576308,-0.233330605779422,-0.261352414387405
"miR145",0.258396569118145,0.138676730836715,0.112716184674701,-0.225250377267224,-0.225238739887962,-0.358224452078558
"OVOL2",0.166251318849132,0.00421059005691661,-0.00659936356181965,-0.150551108301698,-0.150543975125294,-0.166161664913325
"OCT4",-0.141119465115981,-0.139395236600998,0,0,0,0.141119465115981
"ZEB",-0.261601909761263,-0.137600741993427,-0.116356110393362,0.133350574286517,0.233345431576308,0.26153671221269
"miR200",-0.26153671221269,-0.137565362548885,-0.116356110393362,0.233345431576308,0.233330605779422,0.261352414387405
