"","GRHL2","miR145","OCT4","miR200","OVOL2","ZEB"
"miR200",0.426704289906299,0.356567880306564,0.349011669469852,0.342261518375383,-0.210850675691984,-0.434132014146477
"GRHL2",0.426704289906299,0.356567880306564,0.349011669469852,0.342261518375383,-0.210850675691984,-0.434132014146477
"miR145",0.302739485380138,0.175217169134473,0.271545338956619,0.16621255115007,-0.150134340238387,-0.306428534606252
"OVOL2",0.121849010126689,0.105253186930076,0.103872516318636,0.00953353916764925,-0.111601186058986,-0.123011717880452
"ZEB",-0.434132014146477,-0.361901039779768,-0.356567880306564,-0.347373848111806,0.214048518111556,0.339660427620378
"OCT4",-0.349011669469852,-0.338436215261893,-0.331361645472218,-0.327880719253808,0.173382708982216,0.356567880306564
