"","OVOL2","miR145","GRHL2","ZEB","OCT4","miR200"
"OVOL2",0.417739050985871,0.27813157459499,0.262762538192645,-0.26045852221433,-0.266064154835263,-0.385948832931461
"GRHL2",0.228532317189643,0.11717577456787,0.114693283245332,-0.0895932091163479,-0.0796895969047665,-0.19381443531558
"miR145",0.199221255348402,0.0826506480857841,0.0751856756410513,-0.0554835925501634,-0.153448123702537,-0.058987554198242
"OCT4",0,-0.141119465115981,0,0,0.141119465115981,-0.139395236600998
"ZEB",-0.218823205265158,-0.0907707673961398,-0.0895932091163479,0.013933656532136,0.11717577456787,0.18783530918786
"miR200",-0.228532317189643,-0.11717577456787,-0.114693283245332,0.0895932091163479,0.0796895969047665,0.19381443531558
