"","ZEB","OVOL2","miR200","OCT4","miR145","GRHL2"
"ZEB",-0.087168149932184,-0.0268677105179936,-0.0146049775655506,-0.00144500976774542,-0.00143197025803098,0.0128267073576077
"OVOL2",-0.0747866896545588,-0.0404233026029676,-0.0460804981763554,0.0674459540288815,0.0674638848160431,-0.0747938228309622
"GRHL2",-0.0128267073576077,0.0269640310728,0.0146934261769074,0.00140815020268829,0.00144500976774542,-0.0128415331544943
"miR145",-0.00799598371989378,0.0199893585926935,-0.0828158540302848,0.0105992033223155,-0.0894007966776846,-0.00800762109915597
"OCT4",0,0,-0.0713101302180192,-0.0724726004295126,-0.0724726004295126,0
"miR200",0.0128267073576077,-0.0269640310728,-0.0146934261769074,-0.00140815020268829,-0.00144500976774542,0.0128415331544943
