"","miR145","GRHL2","miR200","OVOL2","ZEB","OCT4"
"miR145",0.361037390379913,0.330876695612139,-0.0202124291709895,-0.164896792282195,-0.333122709809742,-0.45673446439024
"miR200",0.309762728613085,0.282068300712745,-0.10978021727469,-0.13987527294074,-0.283625009385836,-0.306777103843458
"GRHL2",0.309762728613085,0.282068300712745,-0.10978021727469,-0.13987527294074,-0.283625009385836,-0.306777103843458
"OVOL2",0.093801017210978,0.0863094476464883,-0.087173771604399,-0.0946078706561205,-0.0865305761149953,-0.093352747531939
"ZEB",-0.311705615560536,-0.283625009385836,0.109992493941946,0.140530252713424,0.184617552456034,0.309762728613085
"OCT4",-0.43552798627253,-0.306777103843458,-0.0512640415079459,0.152692584288988,0.309762728613085,0.429600644016316
