"","OCT4","GRHL2","miR200","OVOL2","ZEB","miR145"
"miR145",0.206500695847473,0.412265458100275,0.343699690375139,0.205556928885079,-0.415442462638853,-0.313155888044834
"miR200",0.387697111934364,0.365771307344671,0.294088859338297,0.180871664798123,-0.36768383514304,-0.392009681046048
"GRHL2",0.387697111934364,0.365771307344671,0.294088859338297,0.180871664798123,-0.36768383514304,-0.392009681046048
"OVOL2",0.22980548255423,0.216176898794965,0.200780211975324,0.0248593899264553,-0.21709707855101,-0.231903384652132
"ZEB",-0.392009681046048,-0.36768383514304,-0.294991035174136,-0.181680757458497,0.268727805315321,0.39463062249865
"OCT4",-0.221300218659672,-0.387697111934364,-0.419869224759924,-0.19302149836831,0.392009681046048,0.231051652694089
