"","miR200","OVOL2","miR145","ZEB","GRHL2","OCT4"
"OVOL2",0.375261280956307,0.36704279937083,0.224686925732163,-0.209586954050771,-0.209037699467706,-0.221226283809982
"miR145",0.207889928997071,0.198281833875865,0.0834292947078132,-0.0699736917629056,-0.0743144342277025,-0.172471176520779
"miR200",0.18019030092716,0.173850489234747,0.0703838230958883,-0.0606127973746408,-0.0640079048616682,-0.0620904209580335
"GRHL2",0.18019030092716,0.173850489234747,0.0703838230958883,-0.0606127973746408,-0.0640079048616682,-0.0620904209580335
"ZEB",-0.17888126147908,-0.173118453018219,-0.0664589306718434,-0.0360392982797691,0.0606127973746408,0.0703838230958883
"OCT4",-0.289679163795583,-0.182553036723339,-0.168756930368306,0.0703838230958883,0.0620904209580335,0.177743546047082
