"","miR145","miR200","OVOL2","ZEB","OCT4","GRHL2"
"miR200",0.283066404701434,0.184536151799948,0.167515305206822,-0.338011848870897,-0.280817971232949,-0.336810959323084
"GRHL2",0.283066404701434,0.184536151799948,0.167515305206822,-0.338011848870897,-0.280817971232949,-0.336810959323084
"miR145",0.171388051544279,0.155244309502422,0.152478748460279,-0.305076422770063,-0.26966688114841,-0.304133795049825
"OVOL2",0.0879828477117049,-0.0238618359383402,-0.0276527000757299,-0.099996263023178,-0.0868890696948499,-0.100574050311858
"OCT4",0.0724726004295126,-0.0713101302180192,0,0,-0.0724726004295126,0
"ZEB",-0.283861814794014,-0.184713049022662,-0.167515305206822,0.239261527451509,0.283066404701434,0.338011848870897
