"","OVOL2","ZEB","GRHL2","OCT4","miR145","miR200"
"ZEB",-0.121245147391042,-0.0904824214614006,-0.00398916506469867,0.00554737446924143,0.0108805339424452,0.0124345240679529
"OCT4",-0.103513928938043,-0.00554737446924143,0.0131035853059536,-0.0249303718278299,-0.017855802038155,-0.0232217745948634
"miR200",0.124442989810614,-0.00398916506469867,0.0114168893048766,-0.0131035853059536,-0.00554737446924143,-0.00732219433152977
"GRHL2",0.124442989810614,-0.00398916506469867,0.0114168893048766,-0.0131035853059536,-0.00554737446924143,-0.00732219433152977
"miR145",0.093451709693537,0.0193309624350668,-0.0156419132089526,-0.0144458185413879,-0.110773988363534,-0.101885371728126
"OVOL2",0.0422432491831789,0.159112414829894,-0.160275122583657,-0.141478298706169,-0.142858969317609,-0.207350037524917
