"","OVOL2","GRHL2","miR145","miR200","OCT4","ZEB"
"miR200",0.718722360566757,0.692103401805768,0.568944760328365,0.260349223171028,-0.531753459185719,-0.735528160886568
"GRHL2",0.718722360566757,0.692103401805768,0.568944760328365,0.260349223171028,-0.531753459185719,-0.735528160886568
"miR145",0.608545527591655,0.582219717970623,0.39401909370021,0.215006525529727,-0.465103431049607,-0.616305601829578
"OVOL2",0.521690497918865,0.375989318621932,0.317107718130997,-0.0504474855561246,-0.299015553884987,-0.396882392307645
"OCT4",0,0,0.0724726004295126,-0.0713101302180192,-0.0724726004295126,0
"ZEB",-0.765206660316323,-0.735528160886568,-0.602130312551602,-0.272873546539151,0.568944760328365,0.674556188657203
