"","miR200","miR145","GRHL2","ZEB","OCT4","OVOL2"
"miR145",0.509217195007356,0.479401816055904,0.454903027557975,-0.465155558687965,-0.563739165453494,-0.495415287054444
"miR200",0.468935646632433,0.436575169634277,0.412831086212417,-0.421385571015975,-0.423711181429338,-0.456296527445555
"GRHL2",0.468935646632433,0.436575169634277,0.412831086212417,-0.421385571015975,-0.423711181429338,-0.456296527445555
"OVOL2",0.0421001374543093,0.253704688688461,0.239106543532805,-0.243222386317597,-0.247446843969077,-0.0329083249696907
"ZEB",-0.47981482582932,-0.4460809722161,-0.421385571015975,0.327942526531532,0.436575169634277,0.466679883253684
"OCT4",-0.57536222591555,-0.546531042452902,-0.423711181429338,0.436575169634277,0.528366606506439,0.462798852348861
