"","miR145","miR200","GRHL2","OVOL2","ZEB","OCT4"
"GRHL2",0.26153671221269,0.249457282571464,0.233330605779422,-0.116356110393362,-0.233345431576308,-0.261352414387405
"miR145",0.258396569118145,0.248458265422682,0.225238739887962,-0.112716184674701,-0.225250377267224,-0.358224452078558
"OVOL2",0.166251318849132,0.0496188917061065,0.150543975125294,-0.122915735564501,-0.150551108301698,-0.166161664913325
"OCT4",-0.141119465115981,-0.139395236600998,0,0,0,0.141119465115981
"ZEB",-0.261601909761263,-0.249510351738278,-0.233345431576308,0.116356110393362,0.133350574286517,0.26153671221269
"miR200",-0.26153671221269,-0.249457282571464,-0.233330605779422,0.116356110393362,0.233345431576308,0.261352414387405
