"","miR200","miR145","GRHL2","ZEB","OVOL2","OCT4"
"miR145",0.203689163422252,0.103197728742344,0.101032764508574,-0.0461392465288227,-0.0899914315025839,-0.139801285827829
"miR200",0.176538779809053,0.0998284688261625,0.0980124801352333,-0.0452771206096588,-0.0881034358688543,-0.0394893608276369
"GRHL2",0.176538779809053,0.0998284688261625,0.0980124801352333,-0.0452771206096588,-0.0881034358688543,-0.0394893608276369
"ZEB",-0.159556646428547,-0.045884017137546,-0.0452771206096588,-0.00524486447648158,0.0324879475236414,0.0998284688261625
"OCT4",-0.270665119206194,-0.139806176961589,-0.0394893608276369,0.0998284688261625,0.0266505820525845,0.203859714246483
"OVOL2",-0.156105970385768,-0.136957699589888,-0.128795665220249,0.103422956753168,-0.00701172280162586,0.10760500100642
