"","OVOL2","ZEB","GRHL2","OCT4","miR145","miR200"
"OVOL2",0.254528508771111,-0.0882004291215188,0.090632842275096,0.0774851286825615,0.0799416465236948,-0.168644468503884
"ZEB",-0.143954865725035,-0.0674771639180134,-0.0290103650097315,-0.0131434029554776,-0.00958361680343688,0.00611034883996662
"miR200",0.146112446152699,-0.0290103650097315,0.0340659617480562,0.00809364254265044,0.0131434029554776,-0.00266085299705135
"GRHL2",0.146112446152699,-0.0290103650097315,0.0340659617480562,0.00809364254265044,0.0131434029554776,-0.00266085299705135
"OCT4",0,0,0,-0.0724726004295126,-0.0724726004295126,-0.0713101302180192
"miR145",-0.135245475612984,0.014246447597872,-0.0182147939262789,0.111081961136597,0.00712326922609762,0.0137318445129441
