"","OVOL2","ZEB","miR145","GRHL2","miR200","OCT4"
"OVOL2",0.321009978761035,-0.16159752490608,0.177306589652721,0.161590391729676,-0.130318962898943,-0.176858319973682
"ZEB",-0.127860605998712,-0.0733163093362265,-0.0362148651431268,-0.0264316978635678,-0.0174721278068069,0.0363843787694144
"OCT4",0.142076453204815,-0.0363843787694144,-0.133098229287904,0.0363475192043573,-0.154081047404229,0.134819070588096
"GRHL2",0.127976190664479,-0.0264316978635678,0.0363843787694144,0.0268023427857324,0.0177020941963346,-0.0363475192043573
"miR200",-0.127976190664479,0.0264316978635678,-0.0363843787694144,-0.0268023427857324,-0.0177020941963346,0.0363475192043573
"miR145",-0.153559331652872,0.0422141874253271,0.0697857298428906,-0.0422258248045893,0.09268635155308,-0.169441495763717
