"","miR200","OCT4","GRHL2","OVOL2","ZEB","miR145"
"OVOL2",0.132538295573047,0.106372929772178,0.122790514309523,-0.0110143158068802,-0.101897440623811,-0.131135346842287
"miR200",0.132475156327992,0.0376962344958931,0.0862255607169975,0.0800172644932397,-0.0428008016361969,-0.0885992938397929
"GRHL2",0.132475156327992,0.0376962344958931,0.0862255607169975,0.0800172644932397,-0.0428008016361969,-0.0885992938397929
"ZEB",-0.127911207981981,-0.0885992938397929,-0.0428008016361969,-0.0335329647436731,-0.018171170593168,0.0436781828735652
"OCT4",-0.139395236600998,0.141119465115981,0,0,0,-0.141119465115981
"miR145",-0.0128838934587209,-0.118341284691194,-0.0509377815667998,-0.057235828354898,0.0168518977078448,0.0579855761427141
