"","GRHL2","miR145","OCT4","OVOL2","ZEB","miR200"
"miR200",0.318628799911097,0.268563342330017,0.267789291463817,0.158422502758205,-0.31870292889553,-0.31657382289352
"GRHL2",0.318628799911097,0.268563342330017,0.267789291463817,0.158422502758205,-0.31870292889553,-0.31657382289352
"miR145",0.2307037578977,0.116216115955872,0.215986626569756,0.1155120068433,-0.230668845759913,-0.230545757223003
"OVOL2",0.0958816708122119,0.0842605173244342,0.0835970781994566,-0.0300536808028038,-0.095332416229146,-0.133046344992114
"ZEB",-0.31870292889553,-0.268576381839731,-0.268563342330017,-0.158075748760902,0.219047490479485,0.317016065950304
"OCT4",-0.267789291463817,-0.271468642325196,-0.271277437736286,-0.133577262745366,0.268563342330017,0.167427424302152
