"","OVOL2","ZEB","OCT4","miR200","GRHL2","miR145"
"ZEB",-0.112981978815317,-0.0901188949263156,-0.0187223345315776,0.00775028363087603,0.00987596236347616,0.0190222432550096
"OVOL2",0.237540839674903,-0.0731428183896476,0.080890364475666,-0.174048016144986,-0.0730643534492096,-0.0805496795195965
"miR145",0.138376026800852,-0.0246027990493722,-0.187683206896798,0.00396714559702312,-0.0241954907751956,0.0883716750551453
"miR200",0.112943450593395,-0.00987596236347616,0.0194226662676631,-0.00780335279769011,-0.00971287859772376,-0.0187223345315776
"GRHL2",0.112943450593395,-0.00987596236347616,0.0194226662676631,-0.00780335279769011,-0.00971287859772376,-0.0187223345315776
"OCT4",-0.12752134992805,0.0187223345315776,0.151765738133646,-0.100096935764202,0.0194226662676631,-0.150809715189095
