"","OVOL2","GRHL2","ZEB","miR145","miR200","OCT4"
"OVOL2",0.357191926015748,0.198411145078011,-0.198960399661077,0.173232200755429,-0.120059589024143,-0.172568761630451
"GRHL2",0.162641383292875,0.052056275604084,-0.051982146619651,0.028859620974919,0.0218719566099312,-0.0280855701087192
"ZEB",-0.162988137290178,-0.051982146619651,-0.0476732917963942,-0.0288465814652046,-0.0214297135531472,0.028859620974919
"OCT4",0.137020162576469,0.0280855701087192,-0.028859620974919,0.05242292923817,-0.0922379553632279,-0.0526141338270802
"miR145",0.118343469852443,0.0134726391088937,-0.0135075512466802,-0.0852653655256095,-0.000459772075189546,-0.0145051450882746
"miR200",-0.162641383292875,-0.052056275604084,0.051982146619651,-0.028859620974919,-0.0218719566099312,0.0280855701087192
