"","miR200","miR145","ZEB","OVOL2","GRHL2","OCT4"
"miR145",0.170934020325525,0.0712072055784546,-0.061752606316763,-0.050545111772717,-0.0614383970766839,-0.168281215905477
"miR200",0.14080377228536,0.0572611552564721,-0.0511322368429471,-0.0465916404891786,-0.050494727576824,-0.0563396661300438
"ZEB",-0.141405222842586,-0.0577175380964773,-0.0491403267980918,0.046687961043985,0.0511322368429471,0.0572611552564721
"OVOL2",-0.0356210545419064,0.0473900045794786,-0.0464638543730122,-0.0785858311135173,-0.0466279174302916,-0.0447900404410529
"GRHL2",-0.14080377228536,-0.0572611552564721,0.0511322368429471,0.0465916404891786,0.050494727576824,0.0563396661300438
"OCT4",-0.258060087646496,-0.163927592052626,0.0572611552564721,0.0469377492065798,0.0563396661300438,0.166030842530638
