"","OVOL2","GRHL2","ZEB","OCT4","miR145","miR200"
"OVOL2",0.361609892769597,0.203103524577657,-0.203681311866337,0.175860753125845,0.176954531142699,-0.143134988104329
"GRHL2",0.167515305206822,0.0570830368755356,-0.0558821473277224,0.0303115968733635,0.0325600303418485,0.00260408426952992
"ZEB",-0.167515305206822,-0.0558821473277224,-0.0428681740916657,-0.0325600303418485,-0.031764620249268,-0.00134811398826333
"miR145",0.152478748460279,0.0378764230985345,-0.0369337953782971,0.0273004246723641,-0.0709784049317667,-0.0929186814802789
"OCT4",0,0,0,-0.0724726004295126,-0.0724726004295126,-0.0713101302180192
"miR200",-0.167515305206822,-0.0570830368755356,0.0558821473277224,-0.0303115968733635,-0.0325600303418485,-0.00260408426952992
