"","ZEB","miR145","GRHL2","miR200","OCT4","OVOL2"
"ZEB",-0.0881912339754565,-0.024371997774567,0.0123487505964128,0.0144679813939073,0.0232897184682689,0.0250465118747558
"OVOL2",-0.0344656987506263,0.034262168702195,-0.0339449768731742,-0.0675683395948143,-0.0330966675366939,-0.0720405615947374
"miR145",-0.0316952176017823,0.0493104049767737,-0.031008612225313,0.0939590258655945,-0.148679309164955,-0.0303442309768857
"miR200",-0.0123487505964128,0.0232897184682689,-0.0107623903295485,-0.0134596672244397,-0.0235477354236689,-0.0241796268814982
"GRHL2",-0.0123487505964128,0.0232897184682689,-0.0107623903295485,-0.0134596672244397,-0.0235477354236689,-0.0241796268814982
"OCT4",0.0232897184682689,-0.139433940868226,0.0235477354236689,-0.157222921940626,0.141537191346237,0.0272254992258747
