"","miR145","GRHL2","OVOL2","ZEB","OCT4","miR200"
"OVOL2",0.136957699589888,0.128795665220249,-0.00701172280162586,-0.103422956753168,-0.10760500100642,-0.156105970385768
"miR145",0.103197728742344,0.101032764508574,0.0899914315025839,-0.0461392465288227,-0.139801285827829,-0.203689163422252
"GRHL2",0.0998284688261625,0.0980124801352333,0.0881034358688543,-0.0452771206096588,-0.0394893608276369,-0.176538779809053
"ZEB",-0.045884017137546,-0.0452771206096588,-0.0324879475236414,-0.00524486447648158,0.0998284688261625,0.159556646428547
"miR200",-0.0998284688261625,-0.0980124801352333,-0.0881034358688543,0.0452771206096588,0.0394893608276369,0.176538779809053
"OCT4",-0.139806176961589,-0.0394893608276369,-0.0266505820525845,0.0998284688261625,0.203859714246483,0.270665119206194
