"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-0.812657194703406,-0.812657194703406,-1,-1,-1,-1,-0.812657194703406,-1,-1,-1,-0.812657194703406,-0.812657194703406,1,0.812657194703406,0.812657194703406,0.812657194703406,0.812657194703406,0.00338835347852576,0.254005569695943,1,0.00480807619302742
"FOXC2",-0.812657194703406,1,1,0.812657194703406,0.812657194703406,0.812657194703406,0.812657194703406,1,0.812657194703406,0.812657194703406,0.812657194703406,1,1,-0.812657194703406,-1,-1,-1,-1,-0.0938810380327749,-0.314851663770962,-0.812657194703406,-0.102881056109875
"GSC",-0.812657194703406,1,1,0.812657194703406,0.812657194703406,0.812657194703406,0.812657194703406,1,0.812657194703406,0.812657194703406,0.812657194703406,1,1,-0.812657194703406,-1,-1,-1,-1,-0.0938810380327749,-0.314851663770962,-0.812657194703406,-0.102881056109875
"KLF8",-1,0.812657194703406,0.812657194703406,1,1,1,1,0.812657194703406,1,1,1,0.812657194703406,0.812657194703406,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.00338835347852577,-0.254005569695943,-1,-0.00480807619302742
"SNAI1",-1,0.812657194703406,0.812657194703406,1,1,1,1,0.812657194703406,1,1,1,0.812657194703406,0.812657194703406,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.00338835347852577,-0.254005569695943,-1,-0.00480807619302742
"SNAI2",-1,0.812657194703406,0.812657194703406,1,1,1,1,0.812657194703406,1,1,1,0.812657194703406,0.812657194703406,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.00338835347852577,-0.254005569695943,-1,-0.00480807619302742
"TCF3",-1,0.812657194703406,0.812657194703406,1,1,1,1,0.812657194703406,1,1,1,0.812657194703406,0.812657194703406,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.00338835347852577,-0.254005569695943,-1,-0.00480807619302742
"TGFbeta",-0.812657194703406,1,1,0.812657194703406,0.812657194703406,0.812657194703406,0.812657194703406,1,0.812657194703406,0.812657194703406,0.812657194703406,1,1,-0.812657194703406,-1,-1,-1,-1,-0.0938810380327749,-0.314851663770962,-0.812657194703406,-0.102881056109875
"TWIST1",-1,0.812657194703406,0.812657194703406,1,1,1,1,0.812657194703406,1,1,1,0.812657194703406,0.812657194703406,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.00338835347852577,-0.254005569695943,-1,-0.00480807619302742
"TWIST2",-1,0.812657194703406,0.812657194703406,1,1,1,1,0.812657194703406,1,1,1,0.812657194703406,0.812657194703406,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.00338835347852577,-0.254005569695943,-1,-0.00480807619302742
"VIM",-1,0.812657194703406,0.812657194703406,1,1,1,1,0.812657194703406,1,1,1,0.812657194703406,0.812657194703406,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.00338835347852577,-0.254005569695943,-1,-0.00480807619302742
"ZEB1",-0.812657194703406,1,1,0.812657194703406,0.812657194703406,0.812657194703406,0.812657194703406,1,0.812657194703406,0.812657194703406,0.812657194703406,1,1,-0.812657194703406,-1,-1,-1,-1,-0.0938810380327749,-0.314851663770962,-0.812657194703406,-0.102881056109875
"ZEB2",-0.812657194703406,1,1,0.812657194703406,0.812657194703406,0.812657194703406,0.812657194703406,1,0.812657194703406,0.812657194703406,0.812657194703406,1,1,-0.812657194703406,-1,-1,-1,-1,-0.0938810380327749,-0.314851663770962,-0.812657194703406,-0.102881056109875
"miR101",1,-0.812657194703406,-0.812657194703406,-1,-1,-1,-1,-0.812657194703406,-1,-1,-1,-0.812657194703406,-0.812657194703406,1,0.812657194703406,0.812657194703406,0.812657194703406,0.812657194703406,0.00338835347852576,0.254005569695943,1,0.00480807619302742
"miR141",0.812657194703406,-1,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.812657194703406,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-1,-1,0.812657194703406,1,1,1,1,0.0938810380327749,0.314851663770962,0.812657194703406,0.102881056109875
"miR200a",0.812657194703406,-1,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.812657194703406,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-1,-1,0.812657194703406,1,1,1,1,0.0938810380327749,0.314851663770962,0.812657194703406,0.102881056109875
"miR200b",0.812657194703406,-1,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.812657194703406,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-1,-1,0.812657194703406,1,1,1,1,0.0938810380327749,0.314851663770962,0.812657194703406,0.102881056109875
"miR200c",0.812657194703406,-1,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-0.812657194703406,-1,-0.812657194703406,-0.812657194703406,-0.812657194703406,-1,-1,0.812657194703406,1,1,1,1,0.0938810380327749,0.314851663770962,0.812657194703406,0.102881056109875
"miR205",0.00338835347852576,-0.0938810380327749,-0.0938810380327749,-0.00338835347852577,-0.00338835347852577,-0.00338835347852577,-0.00338835347852577,-0.0938810380327749,-0.00338835347852577,-0.00338835347852577,-0.00338835347852577,-0.0938810380327749,-0.0938810380327749,0.00338835347852576,0.0938810380327749,0.0938810380327749,0.0938810380327749,0.0938810380327749,1,0.00680744652449928,0.00338835347852576,-0.00579798554129718
"miR30c",0.254005569695943,-0.314851663770962,-0.314851663770962,-0.254005569695943,-0.254005569695943,-0.254005569695943,-0.254005569695943,-0.314851663770962,-0.254005569695943,-0.254005569695943,-0.254005569695943,-0.314851663770962,-0.314851663770962,0.254005569695943,0.314851663770962,0.314851663770962,0.314851663770962,0.314851663770962,0.00680744652449928,1,0.254005569695943,-0.00380360736930753
"miR34a",1,-0.812657194703406,-0.812657194703406,-1,-1,-1,-1,-0.812657194703406,-1,-1,-1,-0.812657194703406,-0.812657194703406,1,0.812657194703406,0.812657194703406,0.812657194703406,0.812657194703406,0.00338835347852576,0.254005569695943,1,0.00480807619302742
"miR9",0.00480807619302742,-0.102881056109875,-0.102881056109875,-0.00480807619302742,-0.00480807619302742,-0.00480807619302742,-0.00480807619302742,-0.102881056109875,-0.00480807619302742,-0.00480807619302742,-0.00480807619302742,-0.102881056109875,-0.102881056109875,0.00480807619302742,0.102881056109875,0.102881056109875,0.102881056109875,0.102881056109875,-0.00579798554129718,-0.00380360736930753,0.00480807619302742,1
