"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.888542183852512,1,1,0.888542183852512,1,0.888542183852512,0.0018282026195894,0.34979437737288,1,0.0039847772044451
"FOXC2",-1,1,1,1,1,1,1,1,1,1,1,1,0.888542183852512,-1,-1,-0.888542183852512,-1,-0.888542183852512,-0.0018282026195894,-0.34979437737288,-1,-0.0039847772044451
"GSC",-1,1,1,1,1,1,1,1,1,1,1,1,0.888542183852512,-1,-1,-0.888542183852512,-1,-0.888542183852512,-0.0018282026195894,-0.34979437737288,-1,-0.0039847772044451
"KLF8",-1,1,1,1,1,1,1,1,1,1,1,1,0.888542183852512,-1,-1,-0.888542183852512,-1,-0.888542183852512,-0.0018282026195894,-0.34979437737288,-1,-0.0039847772044451
"SNAI1",-1,1,1,1,1,1,1,1,1,1,1,1,0.888542183852512,-1,-1,-0.888542183852512,-1,-0.888542183852512,-0.0018282026195894,-0.34979437737288,-1,-0.0039847772044451
"SNAI2",-1,1,1,1,1,1,1,1,1,1,1,1,0.888542183852512,-1,-1,-0.888542183852512,-1,-0.888542183852512,-0.0018282026195894,-0.34979437737288,-1,-0.0039847772044451
"TCF3",-1,1,1,1,1,1,1,1,1,1,1,1,0.888542183852512,-1,-1,-0.888542183852512,-1,-0.888542183852512,-0.0018282026195894,-0.34979437737288,-1,-0.0039847772044451
"TGFbeta",-1,1,1,1,1,1,1,1,1,1,1,1,0.888542183852512,-1,-1,-0.888542183852512,-1,-0.888542183852512,-0.0018282026195894,-0.34979437737288,-1,-0.0039847772044451
"TWIST1",-1,1,1,1,1,1,1,1,1,1,1,1,0.888542183852512,-1,-1,-0.888542183852512,-1,-0.888542183852512,-0.0018282026195894,-0.34979437737288,-1,-0.0039847772044451
"TWIST2",-1,1,1,1,1,1,1,1,1,1,1,1,0.888542183852512,-1,-1,-0.888542183852512,-1,-0.888542183852512,-0.0018282026195894,-0.34979437737288,-1,-0.0039847772044451
"VIM",-1,1,1,1,1,1,1,1,1,1,1,1,0.888542183852512,-1,-1,-0.888542183852512,-1,-0.888542183852512,-0.0018282026195894,-0.34979437737288,-1,-0.0039847772044451
"ZEB1",-1,1,1,1,1,1,1,1,1,1,1,1,0.888542183852512,-1,-1,-0.888542183852512,-1,-0.888542183852512,-0.0018282026195894,-0.34979437737288,-1,-0.0039847772044451
"ZEB2",-0.888542183852512,0.888542183852512,0.888542183852512,0.888542183852512,0.888542183852512,0.888542183852512,0.888542183852512,0.888542183852512,0.888542183852512,0.888542183852512,0.888542183852512,0.888542183852512,1,-0.888542183852512,-0.888542183852512,-1,-0.888542183852512,-1,-0.113272638232965,-0.461278972092797,-0.888542183852512,-0.115467928135973
"miR101",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.888542183852512,1,1,0.888542183852512,1,0.888542183852512,0.0018282026195894,0.34979437737288,1,0.0039847772044451
"miR141",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.888542183852512,1,1,0.888542183852512,1,0.888542183852512,0.0018282026195894,0.34979437737288,1,0.0039847772044451
"miR200a",0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-1,0.888542183852512,0.888542183852512,1,0.888542183852512,1,0.113272638232965,0.461278972092797,0.888542183852512,0.115467928135973
"miR200b",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.888542183852512,1,1,0.888542183852512,1,0.888542183852512,0.0018282026195894,0.34979437737288,1,0.0039847772044451
"miR200c",0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-0.888542183852512,-1,0.888542183852512,0.888542183852512,1,0.888542183852512,1,0.113272638232965,0.461278972092797,0.888542183852512,0.115467928135973
"miR205",0.0018282026195894,-0.0018282026195894,-0.0018282026195894,-0.0018282026195894,-0.0018282026195894,-0.0018282026195894,-0.0018282026195894,-0.0018282026195894,-0.0018282026195894,-0.0018282026195894,-0.0018282026195894,-0.0018282026195894,-0.113272638232965,0.0018282026195894,0.0018282026195894,0.113272638232965,0.0018282026195894,0.113272638232965,1,-0.00117680009735622,0.0018282026195894,0.00321968460244586
"miR30c",0.34979437737288,-0.34979437737288,-0.34979437737288,-0.34979437737288,-0.34979437737288,-0.34979437737288,-0.34979437737288,-0.34979437737288,-0.34979437737288,-0.34979437737288,-0.34979437737288,-0.34979437737288,-0.461278972092797,0.34979437737288,0.34979437737288,0.461278972092797,0.34979437737288,0.461278972092797,-0.00117680009735622,1,0.34979437737288,-0.000616029091382223
"miR34a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.888542183852512,1,1,0.888542183852512,1,0.888542183852512,0.0018282026195894,0.34979437737288,1,0.0039847772044451
"miR9",0.0039847772044451,-0.0039847772044451,-0.0039847772044451,-0.0039847772044451,-0.0039847772044451,-0.0039847772044451,-0.0039847772044451,-0.0039847772044451,-0.0039847772044451,-0.0039847772044451,-0.0039847772044451,-0.0039847772044451,-0.115467928135973,0.0039847772044451,0.0039847772044451,0.115467928135973,0.0039847772044451,0.115467928135973,0.00321968460244586,-0.000616029091382223,0.0039847772044451,1
