"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.264709614710995,0.154022406262877,1,0.035495086247744
"FOXC2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.264709614710995,-0.154022406262877,-1,-0.035495086247744
"GSC",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.264709614710995,-0.154022406262877,-1,-0.035495086247744
"KLF8",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.264709614710995,-0.154022406262877,-1,-0.035495086247744
"SNAI1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.264709614710995,-0.154022406262877,-1,-0.035495086247744
"SNAI2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.264709614710995,-0.154022406262877,-1,-0.035495086247744
"TCF3",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.264709614710995,-0.154022406262877,-1,-0.035495086247744
"TGFbeta",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.264709614710995,-0.154022406262877,-1,-0.035495086247744
"TWIST1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.264709614710995,-0.154022406262877,-1,-0.035495086247744
"TWIST2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.264709614710995,-0.154022406262877,-1,-0.035495086247744
"VIM",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.264709614710995,-0.154022406262877,-1,-0.035495086247744
"ZEB1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.264709614710995,-0.154022406262877,-1,-0.035495086247744
"ZEB2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.264709614710995,-0.154022406262877,-1,-0.035495086247744
"miR101",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.264709614710995,0.154022406262877,1,0.035495086247744
"miR141",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.264709614710995,0.154022406262877,1,0.035495086247744
"miR200a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.264709614710995,0.154022406262877,1,0.035495086247744
"miR200b",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.264709614710995,0.154022406262877,1,0.035495086247744
"miR200c",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.264709614710995,0.154022406262877,1,0.035495086247744
"miR205",0.264709614710995,-0.264709614710995,-0.264709614710995,-0.264709614710995,-0.264709614710995,-0.264709614710995,-0.264709614710995,-0.264709614710995,-0.264709614710995,-0.264709614710995,-0.264709614710995,-0.264709614710995,-0.264709614710995,0.264709614710995,0.264709614710995,0.264709614710995,0.264709614710995,0.264709614710995,1,0.00509386357021245,0.264709614710995,0.00512831790490228
"miR30c",0.154022406262877,-0.154022406262877,-0.154022406262877,-0.154022406262877,-0.154022406262877,-0.154022406262877,-0.154022406262877,-0.154022406262877,-0.154022406262877,-0.154022406262877,-0.154022406262877,-0.154022406262877,-0.154022406262877,0.154022406262877,0.154022406262877,0.154022406262877,0.154022406262877,0.154022406262877,0.00509386357021245,1,0.154022406262877,0.00652047524654144
"miR34a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.264709614710995,0.154022406262877,1,0.035495086247744
"miR9",0.035495086247744,-0.035495086247744,-0.035495086247744,-0.035495086247744,-0.035495086247744,-0.035495086247744,-0.035495086247744,-0.035495086247744,-0.035495086247744,-0.035495086247744,-0.035495086247744,-0.035495086247744,-0.035495086247744,0.035495086247744,0.035495086247744,0.035495086247744,0.035495086247744,0.035495086247744,0.00512831790490228,0.00652047524654144,0.035495086247744,1
