"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.136927299479446,0.152686012530956,1,0.0326773926085636
"FOXC2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.136927299479446,-0.152686012530956,-1,-0.0326773926085636
"GSC",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.136927299479446,-0.152686012530956,-1,-0.0326773926085636
"KLF8",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.136927299479446,-0.152686012530956,-1,-0.0326773926085636
"SNAI1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.136927299479446,-0.152686012530956,-1,-0.0326773926085636
"SNAI2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.136927299479446,-0.152686012530956,-1,-0.0326773926085636
"TCF3",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.136927299479446,-0.152686012530956,-1,-0.0326773926085636
"TGFbeta",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.136927299479446,-0.152686012530956,-1,-0.0326773926085636
"TWIST1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.136927299479446,-0.152686012530956,-1,-0.0326773926085636
"TWIST2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.136927299479446,-0.152686012530956,-1,-0.0326773926085636
"VIM",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.136927299479446,-0.152686012530956,-1,-0.0326773926085636
"ZEB1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.136927299479446,-0.152686012530956,-1,-0.0326773926085636
"ZEB2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.136927299479446,-0.152686012530956,-1,-0.0326773926085636
"miR101",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.136927299479446,0.152686012530956,1,0.0326773926085636
"miR141",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.136927299479446,0.152686012530956,1,0.0326773926085636
"miR200a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.136927299479446,0.152686012530956,1,0.0326773926085636
"miR200b",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.136927299479446,0.152686012530956,1,0.0326773926085636
"miR200c",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.136927299479446,0.152686012530956,1,0.0326773926085636
"miR205",0.136927299479446,-0.136927299479446,-0.136927299479446,-0.136927299479446,-0.136927299479446,-0.136927299479446,-0.136927299479446,-0.136927299479446,-0.136927299479446,-0.136927299479446,-0.136927299479446,-0.136927299479446,-0.136927299479446,0.136927299479446,0.136927299479446,0.136927299479446,0.136927299479446,0.136927299479446,1,-0.00119177527701764,0.136927299479446,0.00154338562309387
"miR30c",0.152686012530956,-0.152686012530956,-0.152686012530956,-0.152686012530956,-0.152686012530956,-0.152686012530956,-0.152686012530956,-0.152686012530956,-0.152686012530956,-0.152686012530956,-0.152686012530956,-0.152686012530956,-0.152686012530956,0.152686012530956,0.152686012530956,0.152686012530956,0.152686012530956,0.152686012530956,-0.00119177527701764,1,0.152686012530956,-0.00819264806577311
"miR34a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.136927299479446,0.152686012530956,1,0.0326773926085636
"miR9",0.0326773926085636,-0.0326773926085636,-0.0326773926085636,-0.0326773926085636,-0.0326773926085636,-0.0326773926085636,-0.0326773926085636,-0.0326773926085636,-0.0326773926085636,-0.0326773926085636,-0.0326773926085636,-0.0326773926085636,-0.0326773926085636,0.0326773926085636,0.0326773926085636,0.0326773926085636,0.0326773926085636,0.0326773926085636,0.00154338562309387,-0.00819264806577311,0.0326773926085636,1
