"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.197714226469059,0.117870815933393,1,0.0137910297513384
"FOXC2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.197714226469059,-0.117870815933393,-1,-0.0137910297513384
"GSC",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.197714226469059,-0.117870815933393,-1,-0.0137910297513384
"KLF8",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.197714226469059,-0.117870815933393,-1,-0.0137910297513384
"SNAI1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.197714226469059,-0.117870815933393,-1,-0.0137910297513384
"SNAI2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.197714226469059,-0.117870815933393,-1,-0.0137910297513384
"TCF3",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.197714226469059,-0.117870815933393,-1,-0.0137910297513384
"TGFbeta",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.197714226469059,-0.117870815933393,-1,-0.0137910297513384
"TWIST1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.197714226469059,-0.117870815933393,-1,-0.0137910297513384
"TWIST2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.197714226469059,-0.117870815933393,-1,-0.0137910297513384
"VIM",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.197714226469059,-0.117870815933393,-1,-0.0137910297513384
"ZEB1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.197714226469059,-0.117870815933393,-1,-0.0137910297513384
"ZEB2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.197714226469059,-0.117870815933393,-1,-0.0137910297513384
"miR101",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.197714226469059,0.117870815933393,1,0.0137910297513384
"miR141",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.197714226469059,0.117870815933393,1,0.0137910297513384
"miR200a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.197714226469059,0.117870815933393,1,0.0137910297513384
"miR200b",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.197714226469059,0.117870815933393,1,0.0137910297513384
"miR200c",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.197714226469059,0.117870815933393,1,0.0137910297513384
"miR205",0.197714226469059,-0.197714226469059,-0.197714226469059,-0.197714226469059,-0.197714226469059,-0.197714226469059,-0.197714226469059,-0.197714226469059,-0.197714226469059,-0.197714226469059,-0.197714226469059,-0.197714226469059,-0.197714226469059,0.197714226469059,0.197714226469059,0.197714226469059,0.197714226469059,0.197714226469059,1,-0.00680441169018061,0.197714226469059,0.0035948351429313
"miR30c",0.117870815933393,-0.117870815933393,-0.117870815933393,-0.117870815933393,-0.117870815933393,-0.117870815933393,-0.117870815933393,-0.117870815933393,-0.117870815933393,-0.117870815933393,-0.117870815933393,-0.117870815933393,-0.117870815933393,0.117870815933393,0.117870815933393,0.117870815933393,0.117870815933393,0.117870815933393,-0.00680441169018061,1,0.117870815933393,-0.0114078862809295
"miR34a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.197714226469059,0.117870815933393,1,0.0137910297513384
"miR9",0.0137910297513384,-0.0137910297513384,-0.0137910297513384,-0.0137910297513384,-0.0137910297513384,-0.0137910297513384,-0.0137910297513384,-0.0137910297513384,-0.0137910297513384,-0.0137910297513384,-0.0137910297513384,-0.0137910297513384,-0.0137910297513384,0.0137910297513384,0.0137910297513384,0.0137910297513384,0.0137910297513384,0.0137910297513384,0.0035948351429313,-0.0114078862809295,0.0137910297513384,1
