"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.234940884362428,0.135279271630995,1,0.00560944469791181
"FOXC2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.234940884362428,-0.135279271630995,-1,-0.00560944469791181
"GSC",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.234940884362428,-0.135279271630995,-1,-0.00560944469791181
"KLF8",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.234940884362428,-0.135279271630995,-1,-0.00560944469791181
"SNAI1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.234940884362428,-0.135279271630995,-1,-0.00560944469791181
"SNAI2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.234940884362428,-0.135279271630995,-1,-0.00560944469791181
"TCF3",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.234940884362428,-0.135279271630995,-1,-0.00560944469791181
"TGFbeta",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.234940884362428,-0.135279271630995,-1,-0.00560944469791181
"TWIST1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.234940884362428,-0.135279271630995,-1,-0.00560944469791181
"TWIST2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.234940884362428,-0.135279271630995,-1,-0.00560944469791181
"VIM",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.234940884362428,-0.135279271630995,-1,-0.00560944469791181
"ZEB1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.234940884362428,-0.135279271630995,-1,-0.00560944469791181
"ZEB2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.234940884362428,-0.135279271630995,-1,-0.00560944469791181
"miR101",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.234940884362428,0.135279271630995,1,0.00560944469791181
"miR141",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.234940884362428,0.135279271630995,1,0.00560944469791181
"miR200a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.234940884362428,0.135279271630995,1,0.00560944469791181
"miR200b",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.234940884362428,0.135279271630995,1,0.00560944469791181
"miR200c",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.234940884362428,0.135279271630995,1,0.00560944469791181
"miR205",0.234940884362428,-0.234940884362428,-0.234940884362428,-0.234940884362428,-0.234940884362428,-0.234940884362428,-0.234940884362428,-0.234940884362428,-0.234940884362428,-0.234940884362428,-0.234940884362428,-0.234940884362428,-0.234940884362428,0.234940884362428,0.234940884362428,0.234940884362428,0.234940884362428,0.234940884362428,1,-0.00140152945969517,0.234940884362428,0.00660562536902823
"miR30c",0.135279271630995,-0.135279271630995,-0.135279271630995,-0.135279271630995,-0.135279271630995,-0.135279271630995,-0.135279271630995,-0.135279271630995,-0.135279271630995,-0.135279271630995,-0.135279271630995,-0.135279271630995,-0.135279271630995,0.135279271630995,0.135279271630995,0.135279271630995,0.135279271630995,0.135279271630995,-0.00140152945969517,1,0.135279271630995,0.00142607806937701
"miR34a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.234940884362428,0.135279271630995,1,0.00560944469791181
"miR9",0.00560944469791181,-0.00560944469791181,-0.00560944469791181,-0.00560944469791181,-0.00560944469791181,-0.00560944469791181,-0.00560944469791181,-0.00560944469791181,-0.00560944469791181,-0.00560944469791181,-0.00560944469791181,-0.00560944469791181,-0.00560944469791181,0.00560944469791181,0.00560944469791181,0.00560944469791181,0.00560944469791181,0.00560944469791181,0.00660562536902823,0.00142607806937701,0.00560944469791181,1
