"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-0.636590786884552,-1,-1,-1,-1,-0.636590786884552,-1,-1,-1,-0.844905922422426,-0.636590786884552,1,0.844905922422426,0.636590786884552,0.844905922422426,0.636590786884552,0.00429677056952246,0.134388296293932,1,0.00781758650284525
"FOXC2",-1,1,0.636590786884552,1,1,1,1,0.636590786884552,1,1,1,0.844905922422426,0.636590786884552,-1,-0.844905922422426,-0.636590786884552,-0.844905922422426,-0.636590786884552,-0.00429677056952246,-0.134388296293932,-1,-0.00781758650284525
"GSC",-0.636590786884552,0.636590786884552,1,0.636590786884552,0.636590786884552,0.636590786884552,0.636590786884552,1,0.636590786884552,0.636590786884552,0.636590786884552,0.791681869877001,1,-0.636590786884552,-0.791681869877001,-1,-0.791681869877001,-1,-0.186795109382485,-0.290862708712746,-0.636590786884552,-0.307212510336947
"KLF8",-1,1,0.636590786884552,1,1,1,1,0.636590786884552,1,1,1,0.844905922422426,0.636590786884552,-1,-0.844905922422426,-0.636590786884552,-0.844905922422426,-0.636590786884552,-0.00429677056952246,-0.134388296293932,-1,-0.00781758650284525
"SNAI1",-1,1,0.636590786884552,1,1,1,1,0.636590786884552,1,1,1,0.844905922422426,0.636590786884552,-1,-0.844905922422426,-0.636590786884552,-0.844905922422426,-0.636590786884552,-0.00429677056952246,-0.134388296293932,-1,-0.00781758650284525
"SNAI2",-1,1,0.636590786884552,1,1,1,1,0.636590786884552,1,1,1,0.844905922422426,0.636590786884552,-1,-0.844905922422426,-0.636590786884552,-0.844905922422426,-0.636590786884552,-0.00429677056952246,-0.134388296293932,-1,-0.00781758650284525
"TCF3",-1,1,0.636590786884552,1,1,1,1,0.636590786884552,1,1,1,0.844905922422426,0.636590786884552,-1,-0.844905922422426,-0.636590786884552,-0.844905922422426,-0.636590786884552,-0.00429677056952246,-0.134388296293932,-1,-0.00781758650284525
"TGFbeta",-0.636590786884552,0.636590786884552,1,0.636590786884552,0.636590786884552,0.636590786884552,0.636590786884552,1,0.636590786884552,0.636590786884552,0.636590786884552,0.791681869877001,1,-0.636590786884552,-0.791681869877001,-1,-0.791681869877001,-1,-0.186795109382485,-0.290862708712746,-0.636590786884552,-0.307212510336947
"TWIST1",-1,1,0.636590786884552,1,1,1,1,0.636590786884552,1,1,1,0.844905922422426,0.636590786884552,-1,-0.844905922422426,-0.636590786884552,-0.844905922422426,-0.636590786884552,-0.00429677056952246,-0.134388296293932,-1,-0.00781758650284525
"TWIST2",-1,1,0.636590786884552,1,1,1,1,0.636590786884552,1,1,1,0.844905922422426,0.636590786884552,-1,-0.844905922422426,-0.636590786884552,-0.844905922422426,-0.636590786884552,-0.00429677056952246,-0.134388296293932,-1,-0.00781758650284525
