"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-0.848257699851128,-1,-1,-1,-1,-0.848257699851128,-1,-1,-0.878486537050092,-0.848257699851128,-0.878486537050092,1,0.848257699851128,0.848257699851128,0.878486537050092,0.848257699851128,0.0932181288358993,0.325265623622542,1,0.00631821156392367
"FOXC2",-1,1,0.848257699851128,1,1,1,1,0.848257699851128,1,1,0.878486537050092,0.848257699851128,0.878486537050092,-1,-0.848257699851128,-0.848257699851128,-0.878486537050092,-0.848257699851128,-0.0932181288358993,-0.325265623622542,-1,-0.00631821156392367
"GSC",-0.848257699851128,0.848257699851128,1,0.848257699851128,0.848257699851128,0.848257699851128,0.848257699851128,1,0.848257699851128,0.848257699851128,0.969771719013158,1,0.969771719013158,-0.848257699851128,-1,-1,-0.969771719013158,-1,-0.244964957281441,-0.17352829017698,-0.848257699851128,-0.00832177759255204
"KLF8",-1,1,0.848257699851128,1,1,1,1,0.848257699851128,1,1,0.878486537050092,0.848257699851128,0.878486537050092,-1,-0.848257699851128,-0.848257699851128,-0.878486537050092,-0.848257699851128,-0.0932181288358993,-0.325265623622542,-1,-0.00631821156392367
"SNAI1",-1,1,0.848257699851128,1,1,1,1,0.848257699851128,1,1,0.878486537050092,0.848257699851128,0.878486537050092,-1,-0.848257699851128,-0.848257699851128,-0.878486537050092,-0.848257699851128,-0.0932181288358993,-0.325265623622542,-1,-0.00631821156392367
"SNAI2",-1,1,0.848257699851128,1,1,1,1,0.848257699851128,1,1,0.878486537050092,0.848257699851128,0.878486537050092,-1,-0.848257699851128,-0.848257699851128,-0.878486537050092,-0.848257699851128,-0.0932181288358993,-0.325265623622542,-1,-0.00631821156392367
"TCF3",-1,1,0.848257699851128,1,1,1,1,0.848257699851128,1,1,0.878486537050092,0.848257699851128,0.878486537050092,-1,-0.848257699851128,-0.848257699851128,-0.878486537050092,-0.848257699851128,-0.0932181288358993,-0.325265623622542,-1,-0.00631821156392367
"TGFbeta",-0.848257699851128,0.848257699851128,1,0.848257699851128,0.848257699851128,0.848257699851128,0.848257699851128,1,0.848257699851128,0.848257699851128,0.969771719013158,1,0.969771719013158,-0.848257699851128,-1,-1,-0.969771719013158,-1,-0.244964957281441,-0.17352829017698,-0.848257699851128,-0.00832177759255204
"TWIST1",-1,1,0.848257699851128,1,1,1,1,0.848257699851128,1,1,0.878486537050092,0.848257699851128,0.878486537050092,-1,-0.848257699851128,-0.848257699851128,-0.878486537050092,-0.848257699851128,-0.0932181288358993,-0.325265623622542,-1,-0.00631821156392367
"TWIST2",-1,1,0.848257699851128,1,1,1,1,0.848257699851128,1,1,0.878486537050092,0.848257699851128,0.878486537050092,-1,-0.848257699851128,-0.848257699851128,-0.878486537050092,-0.848257699851128,-0.0932181288358993,-0.325265623622542,-1,-0.00631821156392367
"VIM",-0.878486537050092,0.878486537050092,0.969771719013158,0.878486537050092,0.878486537050092,0.878486537050092,0.878486537050092,0.969771719013158,0.878486537050092,0.878486537050092,1,0.969771719013158,1,-0.878486537050092,-0.969771719013158,-0.969771719013158,-1,-0.969771719013158,-0.21474350653951,-0.20376801510669,-0.878486537050092,-0.0385521104708972
"ZEB1",-0.848257699851128,0.848257699851128,1,0.848257699851128,0.848257699851128,0.848257699851128,0.848257699851128,1,0.848257699851128,0.848257699851128,0.969771719013158,1,0.969771719013158,-0.848257699851128,-1,-1,-0.969771719013158,-1,-0.244964957281441,-0.17352829017698,-0.848257699851128,-0.00832177759255204
"ZEB2",-0.878486537050092,0.878486537050092,0.969771719013158,0.878486537050092,0.878486537050092,0.878486537050092,0.878486537050092,0.969771719013158,0.878486537050092,0.878486537050092,1,0.969771719013158,1,-0.878486537050092,-0.969771719013158,-0.969771719013158,-1,-0.969771719013158,-0.21474350653951,-0.20376801510669,-0.878486537050092,-0.0385521104708972
"miR101",1,-1,-0.848257699851128,-1,-1,-1,-1,-0.848257699851128,-1,-1,-0.878486537050092,-0.848257699851128,-0.878486537050092,1,0.848257699851128,0.848257699851128,0.878486537050092,0.848257699851128,0.0932181288358993,0.325265623622542,1,0.00631821156392367
"miR141",0.848257699851128,-0.848257699851128,-1,-0.848257699851128,-0.848257699851128,-0.848257699851128,-0.848257699851128,-1,-0.848257699851128,-0.848257699851128,-0.969771719013158,-1,-0.969771719013158,0.848257699851128,1,1,0.969771719013158,1,0.244964957281441,0.17352829017698,0.848257699851128,0.00832177759255204
"miR200a",0.848257699851128,-0.848257699851128,-1,-0.848257699851128,-0.848257699851128,-0.848257699851128,-0.848257699851128,-1,-0.848257699851128,-0.848257699851128,-0.969771719013158,-1,-0.969771719013158,0.848257699851128,1,1,0.969771719013158,1,0.244964957281441,0.17352829017698,0.848257699851128,0.00832177759255204
"miR200b",0.878486537050092,-0.878486537050092,-0.969771719013158,-0.878486537050092,-0.878486537050092,-0.878486537050092,-0.878486537050092,-0.969771719013158,-0.878486537050092,-0.878486537050092,-1,-0.969771719013158,-1,0.878486537050092,0.969771719013158,0.969771719013158,1,0.969771719013158,0.21474350653951,0.20376801510669,0.878486537050092,0.0385521104708972
"miR200c",0.848257699851128,-0.848257699851128,-1,-0.848257699851128,-0.848257699851128,-0.848257699851128,-0.848257699851128,-1,-0.848257699851128,-0.848257699851128,-0.969771719013158,-1,-0.969771719013158,0.848257699851128,1,1,0.969771719013158,1,0.244964957281441,0.17352829017698,0.848257699851128,0.00832177759255204
"miR205",0.0932181288358993,-0.0932181288358993,-0.244964957281441,-0.0932181288358993,-0.0932181288358993,-0.0932181288358993,-0.0932181288358993,-0.244964957281441,-0.0932181288358993,-0.0932181288358993,-0.21474350653951,-0.244964957281441,-0.21474350653951,0.0932181288358993,0.244964957281441,0.244964957281441,0.21474350653951,0.244964957281441,1,0.00805942733934276,0.0932181288358993,0.000289124888908654
"miR30c",0.325265623622542,-0.325265623622542,-0.17352829017698,-0.325265623622542,-0.325265623622542,-0.325265623622542,-0.325265623622542,-0.17352829017698,-0.325265623622542,-0.325265623622542,-0.20376801510669,-0.17352829017698,-0.20376801510669,0.325265623622542,0.17352829017698,0.17352829017698,0.20376801510669,0.17352829017698,0.00805942733934276,1,0.325265623622542,0.00288359388903834
"miR34a",1,-1,-0.848257699851128,-1,-1,-1,-1,-0.848257699851128,-1,-1,-0.878486537050092,-0.848257699851128,-0.878486537050092,1,0.848257699851128,0.848257699851128,0.878486537050092,0.848257699851128,0.0932181288358993,0.325265623622542,1,0.00631821156392367
"miR9",0.00631821156392367,-0.00631821156392367,-0.00832177759255204,-0.00631821156392367,-0.00631821156392367,-0.00631821156392367,-0.00631821156392367,-0.00832177759255204,-0.00631821156392367,-0.00631821156392367,-0.0385521104708972,-0.00832177759255204,-0.0385521104708972,0.00631821156392367,0.00832177759255204,0.00832177759255204,0.0385521104708972,0.00832177759255204,0.000289124888908654,0.00288359388903834,0.00631821156392367,1
