"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.034386019769278,0.327981508910778,1,0.021993389736148
"FOXC2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.034386019769278,-0.327981508910778,-1,-0.021993389736148
"GSC",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.034386019769278,-0.327981508910778,-1,-0.021993389736148
"KLF8",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.034386019769278,-0.327981508910778,-1,-0.021993389736148
"SNAI1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.034386019769278,-0.327981508910778,-1,-0.021993389736148
"SNAI2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.034386019769278,-0.327981508910778,-1,-0.021993389736148
"TCF3",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.034386019769278,-0.327981508910778,-1,-0.021993389736148
"TGFbeta",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.034386019769278,-0.327981508910778,-1,-0.021993389736148
"TWIST1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.034386019769278,-0.327981508910778,-1,-0.021993389736148
"TWIST2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.034386019769278,-0.327981508910778,-1,-0.021993389736148
"VIM",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.034386019769278,-0.327981508910778,-1,-0.021993389736148
"ZEB1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.034386019769278,-0.327981508910778,-1,-0.021993389736148
"ZEB2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.034386019769278,-0.327981508910778,-1,-0.021993389736148
"miR101",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.034386019769278,0.327981508910778,1,0.021993389736148
"miR141",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.034386019769278,0.327981508910778,1,0.021993389736148
"miR200a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.034386019769278,0.327981508910778,1,0.021993389736148
"miR200b",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.034386019769278,0.327981508910778,1,0.021993389736148
"miR200c",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.034386019769278,0.327981508910778,1,0.021993389736148
"miR205",0.034386019769278,-0.034386019769278,-0.034386019769278,-0.034386019769278,-0.034386019769278,-0.034386019769278,-0.034386019769278,-0.034386019769278,-0.034386019769278,-0.034386019769278,-0.034386019769278,-0.034386019769278,-0.034386019769278,0.034386019769278,0.034386019769278,0.034386019769278,0.034386019769278,0.034386019769278,1,0.000357565805967881,0.034386019769278,-0.00744253732760743
"miR30c",0.327981508910778,-0.327981508910778,-0.327981508910778,-0.327981508910778,-0.327981508910778,-0.327981508910778,-0.327981508910778,-0.327981508910778,-0.327981508910778,-0.327981508910778,-0.327981508910778,-0.327981508910778,-0.327981508910778,0.327981508910778,0.327981508910778,0.327981508910778,0.327981508910778,0.327981508910778,0.000357565805967881,1,0.327981508910778,0.00597979771768491
"miR34a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.034386019769278,0.327981508910778,1,0.021993389736148
"miR9",0.021993389736148,-0.021993389736148,-0.021993389736148,-0.021993389736148,-0.021993389736148,-0.021993389736148,-0.021993389736148,-0.021993389736148,-0.021993389736148,-0.021993389736148,-0.021993389736148,-0.021993389736148,-0.021993389736148,0.021993389736148,0.021993389736148,0.021993389736148,0.021993389736148,0.021993389736148,-0.00744253732760743,0.00597979771768491,0.021993389736148,1
