"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-1,-1,-1,-0.538931311632754,-1,-1,-1,-0.538931311632754,-1,-1,-1,1,1,1,1,1,0.0762649708816641,0.0658317975826029,1,0.0242226975871235
"FOXC2",-1,1,1,1,1,0.538931311632754,1,1,1,0.538931311632754,1,1,1,-1,-1,-1,-1,-1,-0.0762649708816642,-0.0658317975826029,-1,-0.0242226975871235
"GSC",-1,1,1,1,1,0.538931311632754,1,1,1,0.538931311632754,1,1,1,-1,-1,-1,-1,-1,-0.0762649708816642,-0.0658317975826029,-1,-0.0242226975871235
"KLF8",-1,1,1,1,1,0.538931311632754,1,1,1,0.538931311632754,1,1,1,-1,-1,-1,-1,-1,-0.0762649708816642,-0.0658317975826029,-1,-0.0242226975871235
"SNAI1",-1,1,1,1,1,0.538931311632754,1,1,1,0.538931311632754,1,1,1,-1,-1,-1,-1,-1,-0.0762649708816642,-0.0658317975826029,-1,-0.0242226975871235
"SNAI2",-0.538931311632754,0.538931311632754,0.538931311632754,0.538931311632754,0.538931311632754,1,0.538931311632754,0.538931311632754,0.538931311632754,1,0.538931311632754,0.538931311632754,0.538931311632754,-0.538931311632754,-0.538931311632754,-0.538931311632754,-0.538931311632754,-0.538931311632754,-0.0288184891980338,-0.526917382043304,-0.538931311632754,0.00200353970175478
"TCF3",-1,1,1,1,1,0.538931311632754,1,1,1,0.538931311632754,1,1,1,-1,-1,-1,-1,-1,-0.0762649708816642,-0.0658317975826029,-1,-0.0242226975871235
"TGFbeta",-1,1,1,1,1,0.538931311632754,1,1,1,0.538931311632754,1,1,1,-1,-1,-1,-1,-1,-0.0762649708816642,-0.0658317975826029,-1,-0.0242226975871235
"TWIST1",-1,1,1,1,1,0.538931311632754,1,1,1,0.538931311632754,1,1,1,-1,-1,-1,-1,-1,-0.0762649708816642,-0.0658317975826029,-1,-0.0242226975871235
"TWIST2",-0.538931311632754,0.538931311632754,0.538931311632754,0.538931311632754,0.538931311632754,1,0.538931311632754,0.538931311632754,0.538931311632754,1,0.538931311632754,0.538931311632754,0.538931311632754,-0.538931311632754,-0.538931311632754,-0.538931311632754,-0.538931311632754,-0.538931311632754,-0.0288184891980338,-0.526917382043304,-0.538931311632754,0.00200353970175478
"VIM",-1,1,1,1,1,0.538931311632754,1,1,1,0.538931311632754,1,1,1,-1,-1,-1,-1,-1,-0.0762649708816642,-0.0658317975826029,-1,-0.0242226975871235
"ZEB1",-1,1,1,1,1,0.538931311632754,1,1,1,0.538931311632754,1,1,1,-1,-1,-1,-1,-1,-0.0762649708816642,-0.0658317975826029,-1,-0.0242226975871235
"ZEB2",-1,1,1,1,1,0.538931311632754,1,1,1,0.538931311632754,1,1,1,-1,-1,-1,-1,-1,-0.0762649708816642,-0.0658317975826029,-1,-0.0242226975871235
"miR101",1,-1,-1,-1,-1,-0.538931311632754,-1,-1,-1,-0.538931311632754,-1,-1,-1,1,1,1,1,1,0.0762649708816641,0.0658317975826029,1,0.0242226975871235
"miR141",1,-1,-1,-1,-1,-0.538931311632754,-1,-1,-1,-0.538931311632754,-1,-1,-1,1,1,1,1,1,0.0762649708816641,0.0658317975826029,1,0.0242226975871235
"miR200a",1,-1,-1,-1,-1,-0.538931311632754,-1,-1,-1,-0.538931311632754,-1,-1,-1,1,1,1,1,1,0.0762649708816641,0.0658317975826029,1,0.0242226975871235
"miR200b",1,-1,-1,-1,-1,-0.538931311632754,-1,-1,-1,-0.538931311632754,-1,-1,-1,1,1,1,1,1,0.0762649708816641,0.0658317975826029,1,0.0242226975871235
"miR200c",1,-1,-1,-1,-1,-0.538931311632754,-1,-1,-1,-0.538931311632754,-1,-1,-1,1,1,1,1,1,0.0762649708816641,0.0658317975826029,1,0.0242226975871235
"miR205",0.0762649708816641,-0.0762649708816642,-0.0762649708816642,-0.0762649708816642,-0.0762649708816642,-0.0288184891980338,-0.0762649708816642,-0.0762649708816642,-0.0762649708816642,-0.0288184891980338,-0.0762649708816642,-0.0762649708816642,-0.0762649708816642,0.0762649708816641,0.0762649708816641,0.0762649708816641,0.0762649708816641,0.0762649708816641,1,0.00498163356799288,0.0762649708816641,0.00700591284347723
"miR30c",0.0658317975826029,-0.0658317975826029,-0.0658317975826029,-0.0658317975826029,-0.0658317975826029,-0.526917382043304,-0.0658317975826029,-0.0658317975826029,-0.0658317975826029,-0.526917382043304,-0.0658317975826029,-0.0658317975826029,-0.0658317975826029,0.0658317975826029,0.0658317975826029,0.0658317975826029,0.0658317975826029,0.0658317975826029,0.00498163356799288,1,0.0658317975826029,-0.0146184992993095
"miR34a",1,-1,-1,-1,-1,-0.538931311632754,-1,-1,-1,-0.538931311632754,-1,-1,-1,1,1,1,1,1,0.0762649708816641,0.0658317975826029,1,0.0242226975871235
"miR9",0.0242226975871235,-0.0242226975871235,-0.0242226975871235,-0.0242226975871235,-0.0242226975871235,0.00200353970175478,-0.0242226975871235,-0.0242226975871235,-0.0242226975871235,0.00200353970175478,-0.0242226975871235,-0.0242226975871235,-0.0242226975871235,0.0242226975871235,0.0242226975871235,0.0242226975871235,0.0242226975871235,0.0242226975871235,0.00700591284347723,-0.0146184992993095,0.0242226975871235,1
