"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.847092780287565,1,1,1,1,0.847092780287565,0.0647420788771459,0.0931600828557994,1,0.00949363389794079
"FOXC2",-1,1,1,1,1,1,1,1,1,1,1,1,0.847092780287565,-1,-1,-1,-1,-0.847092780287565,-0.0647420788771459,-0.0931600828557994,-1,-0.00949363389794079
"GSC",-1,1,1,1,1,1,1,1,1,1,1,1,0.847092780287565,-1,-1,-1,-1,-0.847092780287565,-0.0647420788771459,-0.0931600828557994,-1,-0.00949363389794079
"KLF8",-1,1,1,1,1,1,1,1,1,1,1,1,0.847092780287565,-1,-1,-1,-1,-0.847092780287565,-0.0647420788771459,-0.0931600828557994,-1,-0.00949363389794079
"SNAI1",-1,1,1,1,1,1,1,1,1,1,1,1,0.847092780287565,-1,-1,-1,-1,-0.847092780287565,-0.0647420788771459,-0.0931600828557994,-1,-0.00949363389794079
"SNAI2",-1,1,1,1,1,1,1,1,1,1,1,1,0.847092780287565,-1,-1,-1,-1,-0.847092780287565,-0.0647420788771459,-0.0931600828557994,-1,-0.00949363389794079
"TCF3",-1,1,1,1,1,1,1,1,1,1,1,1,0.847092780287565,-1,-1,-1,-1,-0.847092780287565,-0.0647420788771459,-0.0931600828557994,-1,-0.00949363389794079
"TGFbeta",-1,1,1,1,1,1,1,1,1,1,1,1,0.847092780287565,-1,-1,-1,-1,-0.847092780287565,-0.0647420788771459,-0.0931600828557994,-1,-0.00949363389794079
"TWIST1",-1,1,1,1,1,1,1,1,1,1,1,1,0.847092780287565,-1,-1,-1,-1,-0.847092780287565,-0.0647420788771459,-0.0931600828557994,-1,-0.00949363389794079
"TWIST2",-1,1,1,1,1,1,1,1,1,1,1,1,0.847092780287565,-1,-1,-1,-1,-0.847092780287565,-0.0647420788771459,-0.0931600828557994,-1,-0.00949363389794079
"VIM",-1,1,1,1,1,1,1,1,1,1,1,1,0.847092780287565,-1,-1,-1,-1,-0.847092780287565,-0.0647420788771459,-0.0931600828557994,-1,-0.00949363389794079
"ZEB1",-1,1,1,1,1,1,1,1,1,1,1,1,0.847092780287565,-1,-1,-1,-1,-0.847092780287565,-0.0647420788771459,-0.0931600828557994,-1,-0.00949363389794079
"ZEB2",-0.847092780287565,0.847092780287565,0.847092780287565,0.847092780287565,0.847092780287565,0.847092780287565,0.847092780287565,0.847092780287565,0.847092780287565,0.847092780287565,0.847092780287565,0.847092780287565,1,-0.847092780287565,-0.847092780287565,-0.847092780287565,-0.847092780287565,-1,-0.21764883167127,-0.246067969645807,-0.847092780287565,-0.162407802644409
"miR101",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.847092780287565,1,1,1,1,0.847092780287565,0.0647420788771459,0.0931600828557994,1,0.00949363389794079
"miR141",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.847092780287565,1,1,1,1,0.847092780287565,0.0647420788771459,0.0931600828557994,1,0.00949363389794079
"miR200a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.847092780287565,1,1,1,1,0.847092780287565,0.0647420788771459,0.0931600828557994,1,0.00949363389794079
"miR200b",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.847092780287565,1,1,1,1,0.847092780287565,0.0647420788771459,0.0931600828557994,1,0.00949363389794079
"miR200c",0.847092780287565,-0.847092780287565,-0.847092780287565,-0.847092780287565,-0.847092780287565,-0.847092780287565,-0.847092780287565,-0.847092780287565,-0.847092780287565,-0.847092780287565,-0.847092780287565,-0.847092780287565,-1,0.847092780287565,0.847092780287565,0.847092780287565,0.847092780287565,1,0.21764883167127,0.246067969645807,0.847092780287565,0.162407802644409
"miR205",0.0647420788771459,-0.0647420788771459,-0.0647420788771459,-0.0647420788771459,-0.0647420788771459,-0.0647420788771459,-0.0647420788771459,-0.0647420788771459,-0.0647420788771459,-0.0647420788771459,-0.0647420788771459,-0.0647420788771459,-0.21764883167127,0.0647420788771459,0.0647420788771459,0.0647420788771459,0.0647420788771459,0.21764883167127,1,0.00808440901500336,0.0647420788771459,-0.00474499722303258
"miR30c",0.0931600828557994,-0.0931600828557994,-0.0931600828557994,-0.0931600828557994,-0.0931600828557994,-0.0931600828557994,-0.0931600828557994,-0.0931600828557994,-0.0931600828557994,-0.0931600828557994,-0.0931600828557994,-0.0931600828557994,-0.246067969645807,0.0931600828557994,0.0931600828557994,0.0931600828557994,0.0931600828557994,0.246067969645807,0.00808440901500336,1,0.0931600828557994,-0.00198289188226351
"miR34a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.847092780287565,1,1,1,1,0.847092780287565,0.0647420788771459,0.0931600828557994,1,0.00949363389794079
"miR9",0.00949363389794079,-0.00949363389794079,-0.00949363389794079,-0.00949363389794079,-0.00949363389794079,-0.00949363389794079,-0.00949363389794079,-0.00949363389794079,-0.00949363389794079,-0.00949363389794079,-0.00949363389794079,-0.00949363389794079,-0.162407802644409,0.00949363389794079,0.00949363389794079,0.00949363389794079,0.00949363389794079,0.162407802644409,-0.00474499722303258,-0.00198289188226351,0.00949363389794079,1
