"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-0.98919116210913,-0.98919116210913,-0.98919116210913,-0.98919116210913,-0.992194081152382,-0.98919116210913,-0.98919116210913,-0.98919116210913,-0.914531516268373,-0.98919116210913,-0.914531516268373,-0.98919116210913,0.98919116210913,0.914531516268373,0.914531516268373,0.98919116210913,0.98919116210913,0.131284016531071,0.156118960306354,0.914531516268373,0.0250253032111587
"FOXC2",-0.98919116210913,1,1,1,1,0.981385192377335,1,1,1,0.903722731426199,1,0.903722731426199,1,-1,-0.903722731426199,-0.903722731426199,-1,-1,-0.120475092028408,-0.145310200364319,-0.903722731426199,-0.0358340534097083
"GSC",-0.98919116210913,1,1,1,1,0.981385192377335,1,1,1,0.903722731426199,1,0.903722731426199,1,-1,-0.903722731426199,-0.903722731426199,-1,-1,-0.120475092028408,-0.145310200364319,-0.903722731426199,-0.0358340534097083
"KLF8",-0.98919116210913,1,1,1,1,0.981385192377335,1,1,1,0.903722731426199,1,0.903722731426199,1,-1,-0.903722731426199,-0.903722731426199,-1,-1,-0.120475092028408,-0.145310200364319,-0.903722731426199,-0.0358340534097083
"SNAI1",-0.98919116210913,1,1,1,1,0.981385192377335,1,1,1,0.903722731426199,1,0.903722731426199,1,-1,-0.903722731426199,-0.903722731426199,-1,-1,-0.120475092028408,-0.145310200364319,-0.903722731426199,-0.0358340534097083
"SNAI2",-0.992194081152382,0.981385192377335,0.981385192377335,0.981385192377335,0.981385192377335,1,0.981385192377335,0.981385192377335,0.981385192377335,0.922339398381874,0.981385192377335,0.922339398381874,0.981385192377335,-0.981385192377335,-0.922339398381874,-0.922339398381874,-0.981385192377335,-0.981385192377335,-0.139085307326108,-0.163924255722489,-0.922339398381874,-0.0328329792980894
"TCF3",-0.98919116210913,1,1,1,1,0.981385192377335,1,1,1,0.903722731426199,1,0.903722731426199,1,-1,-0.903722731426199,-0.903722731426199,-1,-1,-0.120475092028408,-0.145310200364319,-0.903722731426199,-0.0358340534097083
"TGFbeta",-0.98919116210913,1,1,1,1,0.981385192377335,1,1,1,0.903722731426199,1,0.903722731426199,1,-1,-0.903722731426199,-0.903722731426199,-1,-1,-0.120475092028408,-0.145310200364319,-0.903722731426199,-0.0358340534097083
"TWIST1",-0.98919116210913,1,1,1,1,0.981385192377335,1,1,1,0.903722731426199,1,0.903722731426199,1,-1,-0.903722731426199,-0.903722731426199,-1,-1,-0.120475092028408,-0.145310200364319,-0.903722731426199,-0.0358340534097083
"TWIST2",-0.914531516268373,0.903722731426199,0.903722731426199,0.903722731426199,0.903722731426199,0.922339398381874,0.903722731426199,0.903722731426199,0.903722731426199,1,0.903722731426199,1,0.903722731426199,-0.903722731426199,-1,-1,-0.903722731426199,-0.903722731426199,-0.216761655576264,-0.0862644458093079,-1,-0.0176175385318955
