"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.227511577806747,0.0276181342332251,1,0.0154247063562719
"FOXC2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.227511577806747,-0.0276181342332251,-1,-0.0154247063562718
"GSC",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.227511577806747,-0.0276181342332251,-1,-0.0154247063562718
"KLF8",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.227511577806747,-0.0276181342332251,-1,-0.0154247063562718
"SNAI1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.227511577806747,-0.0276181342332251,-1,-0.0154247063562718
"SNAI2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.227511577806747,-0.0276181342332251,-1,-0.0154247063562718
"TCF3",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.227511577806747,-0.0276181342332251,-1,-0.0154247063562718
"TGFbeta",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.227511577806747,-0.0276181342332251,-1,-0.0154247063562718
"TWIST1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.227511577806747,-0.0276181342332251,-1,-0.0154247063562718
"TWIST2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.227511577806747,-0.0276181342332251,-1,-0.0154247063562718
"VIM",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.227511577806747,-0.0276181342332251,-1,-0.0154247063562718
"ZEB1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.227511577806747,-0.0276181342332251,-1,-0.0154247063562718
"ZEB2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.227511577806747,-0.0276181342332251,-1,-0.0154247063562718
"miR101",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.227511577806747,0.0276181342332251,1,0.0154247063562719
"miR141",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.227511577806747,0.0276181342332251,1,0.0154247063562719
"miR200a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.227511577806747,0.0276181342332251,1,0.0154247063562719
"miR200b",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.227511577806747,0.0276181342332251,1,0.0154247063562719
"miR200c",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.227511577806747,0.0276181342332251,1,0.0154247063562719
"miR205",0.227511577806747,-0.227511577806747,-0.227511577806747,-0.227511577806747,-0.227511577806747,-0.227511577806747,-0.227511577806747,-0.227511577806747,-0.227511577806747,-0.227511577806747,-0.227511577806747,-0.227511577806747,-0.227511577806747,0.227511577806747,0.227511577806747,0.227511577806747,0.227511577806747,0.227511577806747,1,0.000592320454832984,0.227511577806747,-0.00642383422486286
"miR30c",0.0276181342332251,-0.0276181342332251,-0.0276181342332251,-0.0276181342332251,-0.0276181342332251,-0.0276181342332251,-0.0276181342332251,-0.0276181342332251,-0.0276181342332251,-0.0276181342332251,-0.0276181342332251,-0.0276181342332251,-0.0276181342332251,0.0276181342332251,0.0276181342332251,0.0276181342332251,0.0276181342332251,0.0276181342332251,0.000592320454832984,1,0.0276181342332251,0.00139193161263071
"miR34a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.227511577806747,0.0276181342332251,1,0.0154247063562719
"miR9",0.0154247063562719,-0.0154247063562718,-0.0154247063562718,-0.0154247063562718,-0.0154247063562718,-0.0154247063562718,-0.0154247063562718,-0.0154247063562718,-0.0154247063562718,-0.0154247063562718,-0.0154247063562718,-0.0154247063562718,-0.0154247063562718,0.0154247063562719,0.0154247063562719,0.0154247063562719,0.0154247063562719,0.0154247063562719,-0.00642383422486286,0.00139193161263071,0.0154247063562719,1
