"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.00199049847562057,0.0796595573497418,1,-0.006828071419435
"FOXC2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00199049847562057,-0.0796595573497418,-1,0.006828071419435
"GSC",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00199049847562057,-0.0796595573497418,-1,0.006828071419435
"KLF8",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00199049847562057,-0.0796595573497418,-1,0.006828071419435
"SNAI1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00199049847562057,-0.0796595573497418,-1,0.006828071419435
"SNAI2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00199049847562057,-0.0796595573497418,-1,0.006828071419435
"TCF3",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00199049847562057,-0.0796595573497418,-1,0.006828071419435
"TGFbeta",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00199049847562057,-0.0796595573497418,-1,0.006828071419435
"TWIST1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00199049847562057,-0.0796595573497418,-1,0.006828071419435
"TWIST2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00199049847562057,-0.0796595573497418,-1,0.006828071419435
"VIM",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00199049847562057,-0.0796595573497418,-1,0.006828071419435
"ZEB1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00199049847562057,-0.0796595573497418,-1,0.006828071419435
"ZEB2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0.00199049847562057,-0.0796595573497418,-1,0.006828071419435
"miR101",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.00199049847562057,0.0796595573497418,1,-0.006828071419435
"miR141",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.00199049847562057,0.0796595573497418,1,-0.006828071419435
"miR200a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.00199049847562057,0.0796595573497418,1,-0.006828071419435
"miR200b",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.00199049847562057,0.0796595573497418,1,-0.006828071419435
"miR200c",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.00199049847562057,0.0796595573497418,1,-0.006828071419435
"miR205",-0.00199049847562057,0.00199049847562057,0.00199049847562057,0.00199049847562057,0.00199049847562057,0.00199049847562057,0.00199049847562057,0.00199049847562057,0.00199049847562057,0.00199049847562057,0.00199049847562057,0.00199049847562057,0.00199049847562057,-0.00199049847562057,-0.00199049847562057,-0.00199049847562057,-0.00199049847562057,-0.00199049847562057,1,0.00571412909371433,-0.00199049847562057,-0.00016988284144752
"miR30c",0.0796595573497418,-0.0796595573497418,-0.0796595573497418,-0.0796595573497418,-0.0796595573497418,-0.0796595573497418,-0.0796595573497418,-0.0796595573497418,-0.0796595573497418,-0.0796595573497418,-0.0796595573497418,-0.0796595573497418,-0.0796595573497418,0.0796595573497418,0.0796595573497418,0.0796595573497418,0.0796595573497418,0.0796595573497418,0.00571412909371433,1,0.0796595573497418,-0.00725269405478758
"miR34a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-0.00199049847562057,0.0796595573497418,1,-0.006828071419435
"miR9",-0.006828071419435,0.006828071419435,0.006828071419435,0.006828071419435,0.006828071419435,0.006828071419435,0.006828071419435,0.006828071419435,0.006828071419435,0.006828071419435,0.006828071419435,0.006828071419435,0.006828071419435,-0.006828071419435,-0.006828071419435,-0.006828071419435,-0.006828071419435,-0.006828071419435,-0.00016988284144752,-0.00725269405478758,-0.006828071419435,1
