"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.107866367359462,0.145050302964897,1,0.0520234364193399
"FOXC2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.107866367359462,-0.145050302964897,-1,-0.0520234364193399
"GSC",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.107866367359462,-0.145050302964897,-1,-0.0520234364193399
"KLF8",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.107866367359462,-0.145050302964897,-1,-0.0520234364193399
"SNAI1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.107866367359462,-0.145050302964897,-1,-0.0520234364193399
"SNAI2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.107866367359462,-0.145050302964897,-1,-0.0520234364193399
"TCF3",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.107866367359462,-0.145050302964897,-1,-0.0520234364193399
"TGFbeta",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.107866367359462,-0.145050302964897,-1,-0.0520234364193399
"TWIST1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.107866367359462,-0.145050302964897,-1,-0.0520234364193399
"TWIST2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.107866367359462,-0.145050302964897,-1,-0.0520234364193399
"VIM",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.107866367359462,-0.145050302964897,-1,-0.0520234364193399
"ZEB1",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.107866367359462,-0.145050302964897,-1,-0.0520234364193399
"ZEB2",-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-0.107866367359462,-0.145050302964897,-1,-0.0520234364193399
"miR101",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.107866367359462,0.145050302964897,1,0.0520234364193399
"miR141",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.107866367359462,0.145050302964897,1,0.0520234364193399
"miR200a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.107866367359462,0.145050302964897,1,0.0520234364193399
"miR200b",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.107866367359462,0.145050302964897,1,0.0520234364193399
"miR200c",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.107866367359462,0.145050302964897,1,0.0520234364193399
"miR205",0.107866367359462,-0.107866367359462,-0.107866367359462,-0.107866367359462,-0.107866367359462,-0.107866367359462,-0.107866367359462,-0.107866367359462,-0.107866367359462,-0.107866367359462,-0.107866367359462,-0.107866367359462,-0.107866367359462,0.107866367359462,0.107866367359462,0.107866367359462,0.107866367359462,0.107866367359462,1,-0.00199952249731116,0.107866367359462,0.00820344423200593
"miR30c",0.145050302964897,-0.145050302964897,-0.145050302964897,-0.145050302964897,-0.145050302964897,-0.145050302964897,-0.145050302964897,-0.145050302964897,-0.145050302964897,-0.145050302964897,-0.145050302964897,-0.145050302964897,-0.145050302964897,0.145050302964897,0.145050302964897,0.145050302964897,0.145050302964897,0.145050302964897,-0.00199952249731116,1,0.145050302964897,-0.00460216698005806
"miR34a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0.107866367359462,0.145050302964897,1,0.0520234364193399
"miR9",0.0520234364193399,-0.0520234364193399,-0.0520234364193399,-0.0520234364193399,-0.0520234364193399,-0.0520234364193399,-0.0520234364193399,-0.0520234364193399,-0.0520234364193399,-0.0520234364193399,-0.0520234364193399,-0.0520234364193399,-0.0520234364193399,0.0520234364193399,0.0520234364193399,0.0520234364193399,0.0520234364193399,0.0520234364193399,0.00820344423200593,-0.00460216698005806,0.0520234364193399,1
