"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-0.935552689133434,-1,-1,-1,-1,-0.935552689133434,-1,-1,-1,-0.935552689133434,-0.935552689133434,1,0.935552689133434,0.935552689133434,0.935552689133434,0.935552689133434,0.0118799783902562,0.0917878879887473,1,0.0182798393971284
"FOXC2",-1,1,0.935552689133434,1,1,1,1,0.935552689133434,1,1,1,0.935552689133434,0.935552689133434,-1,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.0118799783902562,-0.0917878879887473,-1,-0.0182798393971284
"GSC",-0.935552689133434,0.935552689133434,1,0.935552689133434,0.935552689133434,0.935552689133434,0.935552689133434,1,0.935552689133434,0.935552689133434,0.935552689133434,1,1,-0.935552689133434,-1,-1,-1,-1,-0.0763219699445045,-0.117411606320255,-0.935552689133434,-0.0470947567341152
"KLF8",-1,1,0.935552689133434,1,1,1,1,0.935552689133434,1,1,1,0.935552689133434,0.935552689133434,-1,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.0118799783902562,-0.0917878879887473,-1,-0.0182798393971284
"SNAI1",-1,1,0.935552689133434,1,1,1,1,0.935552689133434,1,1,1,0.935552689133434,0.935552689133434,-1,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.0118799783902562,-0.0917878879887473,-1,-0.0182798393971284
"SNAI2",-1,1,0.935552689133434,1,1,1,1,0.935552689133434,1,1,1,0.935552689133434,0.935552689133434,-1,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.0118799783902562,-0.0917878879887473,-1,-0.0182798393971284
"TCF3",-1,1,0.935552689133434,1,1,1,1,0.935552689133434,1,1,1,0.935552689133434,0.935552689133434,-1,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.0118799783902562,-0.0917878879887473,-1,-0.0182798393971284
"TGFbeta",-0.935552689133434,0.935552689133434,1,0.935552689133434,0.935552689133434,0.935552689133434,0.935552689133434,1,0.935552689133434,0.935552689133434,0.935552689133434,1,1,-0.935552689133434,-1,-1,-1,-1,-0.0763219699445045,-0.117411606320255,-0.935552689133434,-0.0470947567341152
"TWIST1",-1,1,0.935552689133434,1,1,1,1,0.935552689133434,1,1,1,0.935552689133434,0.935552689133434,-1,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.0118799783902562,-0.0917878879887473,-1,-0.0182798393971284
"TWIST2",-1,1,0.935552689133434,1,1,1,1,0.935552689133434,1,1,1,0.935552689133434,0.935552689133434,-1,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.935552689133434,-0.0118799783902562,-0.0917878879887473,-1,-0.0182798393971284
