"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGFbeta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR101","miR141","miR200a","miR200b","miR200c","miR205","miR30c","miR34a","miR9"
"CDH1",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.91534586474474,1,1,0.91534586474474,1,0.91534586474474,0.00416934346897819,0.0662514395204567,1,0.0432255412209237
"FOXC2",-1,1,1,1,1,1,1,1,1,1,1,1,0.91534586474474,-1,-1,-0.91534586474474,-1,-0.91534586474474,-0.00416934346897819,-0.0662514395204567,-1,-0.0432255412209237
"GSC",-1,1,1,1,1,1,1,1,1,1,1,1,0.91534586474474,-1,-1,-0.91534586474474,-1,-0.91534586474474,-0.00416934346897819,-0.0662514395204567,-1,-0.0432255412209237
"KLF8",-1,1,1,1,1,1,1,1,1,1,1,1,0.91534586474474,-1,-1,-0.91534586474474,-1,-0.91534586474474,-0.00416934346897819,-0.0662514395204567,-1,-0.0432255412209237
"SNAI1",-1,1,1,1,1,1,1,1,1,1,1,1,0.91534586474474,-1,-1,-0.91534586474474,-1,-0.91534586474474,-0.00416934346897819,-0.0662514395204567,-1,-0.0432255412209237
"SNAI2",-1,1,1,1,1,1,1,1,1,1,1,1,0.91534586474474,-1,-1,-0.91534586474474,-1,-0.91534586474474,-0.00416934346897819,-0.0662514395204567,-1,-0.0432255412209237
"TCF3",-1,1,1,1,1,1,1,1,1,1,1,1,0.91534586474474,-1,-1,-0.91534586474474,-1,-0.91534586474474,-0.00416934346897819,-0.0662514395204567,-1,-0.0432255412209237
"TGFbeta",-1,1,1,1,1,1,1,1,1,1,1,1,0.91534586474474,-1,-1,-0.91534586474474,-1,-0.91534586474474,-0.00416934346897819,-0.0662514395204567,-1,-0.0432255412209237
"TWIST1",-1,1,1,1,1,1,1,1,1,1,1,1,0.91534586474474,-1,-1,-0.91534586474474,-1,-0.91534586474474,-0.00416934346897819,-0.0662514395204567,-1,-0.0432255412209237
"TWIST2",-1,1,1,1,1,1,1,1,1,1,1,1,0.91534586474474,-1,-1,-0.91534586474474,-1,-0.91534586474474,-0.00416934346897819,-0.0662514395204567,-1,-0.0432255412209237
"VIM",-1,1,1,1,1,1,1,1,1,1,1,1,0.91534586474474,-1,-1,-0.91534586474474,-1,-0.91534586474474,-0.00416934346897819,-0.0662514395204567,-1,-0.0432255412209237
"ZEB1",-1,1,1,1,1,1,1,1,1,1,1,1,0.91534586474474,-1,-1,-0.91534586474474,-1,-0.91534586474474,-0.00416934346897819,-0.0662514395204567,-1,-0.0432255412209237
"ZEB2",-0.91534586474474,0.91534586474474,0.91534586474474,0.91534586474474,0.91534586474474,0.91534586474474,0.91534586474474,0.91534586474474,0.91534586474474,0.91534586474474,0.91534586474474,0.91534586474474,1,-0.91534586474474,-0.91534586474474,-1,-0.91534586474474,-1,-0.0888239448546046,-0.15090356349828,-0.91534586474474,-0.127877947896732
"miR101",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.91534586474474,1,1,0.91534586474474,1,0.91534586474474,0.00416934346897819,0.0662514395204567,1,0.0432255412209237
"miR141",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.91534586474474,1,1,0.91534586474474,1,0.91534586474474,0.00416934346897819,0.0662514395204567,1,0.0432255412209237
"miR200a",0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-1,0.91534586474474,0.91534586474474,1,0.91534586474474,1,0.0888239448546046,0.15090356349828,0.91534586474474,0.127877947896732
"miR200b",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.91534586474474,1,1,0.91534586474474,1,0.91534586474474,0.00416934346897819,0.0662514395204567,1,0.0432255412209237
"miR200c",0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-0.91534586474474,-1,0.91534586474474,0.91534586474474,1,0.91534586474474,1,0.0888239448546046,0.15090356349828,0.91534586474474,0.127877947896732
"miR205",0.00416934346897819,-0.00416934346897819,-0.00416934346897819,-0.00416934346897819,-0.00416934346897819,-0.00416934346897819,-0.00416934346897819,-0.00416934346897819,-0.00416934346897819,-0.00416934346897819,-0.00416934346897819,-0.00416934346897819,-0.0888239448546046,0.00416934346897819,0.00416934346897819,0.0888239448546046,0.00416934346897819,0.0888239448546046,1,-0.00379400759486807,0.00416934346897819,-0.00640497038255307
"miR30c",0.0662514395204567,-0.0662514395204567,-0.0662514395204567,-0.0662514395204567,-0.0662514395204567,-0.0662514395204567,-0.0662514395204567,-0.0662514395204567,-0.0662514395204567,-0.0662514395204567,-0.0662514395204567,-0.0662514395204567,-0.15090356349828,0.0662514395204567,0.0662514395204567,0.15090356349828,0.0662514395204567,0.15090356349828,-0.00379400759486807,1,0.0662514395204567,-0.010405936905876
"miR34a",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.91534586474474,1,1,0.91534586474474,1,0.91534586474474,0.00416934346897819,0.0662514395204567,1,0.0432255412209237
"miR9",0.0432255412209237,-0.0432255412209237,-0.0432255412209237,-0.0432255412209237,-0.0432255412209237,-0.0432255412209237,-0.0432255412209237,-0.0432255412209237,-0.0432255412209237,-0.0432255412209237,-0.0432255412209237,-0.0432255412209237,-0.127877947896732,0.0432255412209237,0.0432255412209237,0.127877947896732,0.0432255412209237,0.127877947896732,-0.00640497038255307,-0.010405936905876,0.0432255412209237,1
